"Title","Data_Collection_Period","Study_Period","Country","City_Region","Study_Area_Size_km2","Elicit_Study_Area_km2","Total_Units_Region","Average_Unit_Size_km2","Area_Calculation_Method","Area_Source","Population_per_Unit_Numeric","Crime_Type","Sample_Size_Numeric","Number_of_Crimes_Numeric","Number_of_Offenders_Numeric","Rationale_Category","Study_Design","Discrete_Choice_Model","Estimation_Method","Model_Comparison_Status","Sample_Size_Effects_Status","Robustness_Checks_Status","Scale_Recommendations_Status","Scale_Limitations_Status","Cross_Scale_Comparisons_Status","Quoted_Rationale","Justification_Summary","Sampling_Approach","Choice_Set_Definition","Alternative_Selection","Significant_Predictors","Effect_Directions","Data_Sources","Data_Availability","Data_Quality_Issues","Missing_Data_Issues","Data_Source_Limitations","Measurement_Issues","Temporal_Limitations","Generalizability","Context_Specificity","Comparative_Limitations","Spatial_Scale_Recommendations","Data_Collection_Suggestions","Methodological_Improvements","Demographic_Variables","Demographic_Count","Economic_Variables","Economic_Count","Environmental_Variables","Environmental_Count","Distance_Variables","Distance_Count","Temporal_Variables","Temporal_Count","Total_Variables"
"Spatial analysis with preference specification of latent decision makers for criminal event prediction","1997-1997","1997-1997","United States","Richmond, Va",NA,NA,NA,NA,NA,NA,NA,"Residential Breaking And Entering (B & E)",1200,1200,NA,"Data Availability",NA,"Multinomial Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""The sub regions shown in Fig. 1 are block groups, which are the smallest areas, for which census counts are recorded.""","Block groups were used due to their alignment with census data availability and their suitability for representing spatial alternatives within the study area.","Importance sampling technique","Aggregated into 2517 regular grids","Aggregated into grids and importance sampling","Feature values attached to spatial alternatives and specified preferences of decision makers.","Increase probability of correct location choice.","Regional Crime Analysis Program (ReCAP); criminal incident reporting mainframe system (RAMS); census data; calculated distance values",NA,"Limited toolsets for analysis.","Characteristics of individuals and choice sets are not directly observed.","Attributes derived from census data and distance values may be correlated.","Large number of alternatives and attributes makes measurement challenging.","Focus on past data for prediction may imply temporal resolution issues.","Models developed using data from a specific context, limiting applicability to other areas.","Findings specific to Richmond, VA; may not generalize to other areas.","Limited comparison to hot spot methods; no comprehensive comparison across contexts or time periods.","The paper suggests focusing on finer spatial scales to better capture criminal decision-making processes.","Future research should improve data collection and analytical methods to better capture criminal decision-making processes.","The study suggests improving analytical approaches by refining the models and incorporating more detailed spatial data.",NA,0,NA,0,"1. FAM.DENSITY | Density",1,"1. D.HIGHWAY | Distance; 2. D.HOSPITAL | Distance; 3. Distance Values | Distance",3,"1. Time | Number",1,8
"TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *","August 2011 (implied)","August 2011","United Kingdom","London",NA,NA,NA,NA,NA,NA,1500,"Riot-Related Incidents",2299,3914,NA,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""The advantage of smaller sized units of analysis in the discrete choice approach is that the explanatory variables are more representative of the population and characteristics of each area.""","LSOAs were chosen due to their availability in the UK census data and their suitability for representing detailed population characteristics.","Comprehensive collection of all riot-related incidents detected by the police in London during August 2011.","U.K. census Lower Super Output Areas (LSOA) as alternatives.","LSOAs within Greater London as spatial units for analysis.","Proximity to home, schools, transport hubs, retail facilities, previous rioting activity, deprivation, population churn.","Increased likelihood for areas close to home, with schools, transport hubs, retail facilities, and previous rioting; decreased likelihood for crossing the Thames River.","Metropolitan Police Service; 2001 U.K. Census; Index of Multiple Deprivation (IMD) 2010; U.K. Office for National Statistics","Data regarding police activity was unavailable for analysis","Use of 2001 census data for estimating ethnic diversity and population churn.","Unavailability of data on police activity.","Reliance on 2001 census data for social demographics.","Potential for unobserved heterogeneity in measuring recent activity.","Focus on August 6-11, 2011.","The findings are based on a specific event and may not generalize to other contexts or types of civil disorders.","The findings are specific to the 2011 London riots and may not apply to other riots due to unique contextual factors.","The study does not compare findings across different riots or contexts.","Use smaller spatial units like LSOAs for more representative data.","Include data on police resource allocation and social media influence.","Use discrete choice approaches for analyzing offender spatial decision making.","1. Population Churn Rates | Rate; 2. Ethnic Heterogeneity | Index; 3. Age Distribution | Number; 4. Population Density | Number",4,NA,0,NA,0,"1. Propinquity | Distance; 2. Transport Hubs | Number; 3. Home-to-crime distance | Distance; 4. Distance to city center | Distance",4,"1. Prior Offenses | Number",1,24
"Target Selection Models with Preference Variation Between Offenders","2006-2009","2006-2009","Australia","Brisbane",158,NA,NA,NA,NA,NA,NA,"Burglary",2844,2844,873,"Data Availability","Cross-sectional","Mixed Logit","Hierarchical Bayes","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not explicitly stated","SLAs were used due to data availability from the ABS census.","Random effects variant of the discrete spatial choice model","158 Statistical Local Areas (SLAs) in the Brisbane Local Government Area","Characteristics sourced from the Australian Bureau of Statistics (ABS) 2006 Census","Affluence was statistically significant in the mixed logit model. Residential mobility had different effects in the two models.","Proximity variables increased choice probability. Affluence increased choice probability in the mixed logit model. Residential mobility decreased choice probability in the mixed logit model.","Recorded crime data from Brisbane, Australia; Australian Bureau of Statistics (ABS) 2006 Census","Data represents 22% of all recorded burglaries during this period","Recorded crime data only reflects cleared residential burglaries.","Assumption that all offending trips originate from an offender's home location due to lack of nuanced data.","Measures of affluence and social cohesion derived from secondary data sources.","Use of median housing repayment and residential turnover as proxies.","No account for changes over time in offender preferences or behavioral rules.","Specific to Brisbane; use of secondary data sources may limit generalizability.","Findings specific to Brisbane, Australia, during the study period.","Limited to Brisbane; mixed logit model may not be directly comparable to other studies.","Smaller spatial units or scales might be more effective in future work.","More nuanced data collection is needed to capture the environmental backcloth and individual preferences.","Use of mixed logit models over traditional conditional logit models.","1. Ethnicity/race | Number",1,NA,0,"1. Residential mobility | Percentage; 2. Mean housing repayment | Number",2,"1. City Center Proximity | Distance; 2. Proximity to city center | Distance; 3. Proximity | Distance; 4. Distance to crime | Distance",4,NA,0,11
"Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model","2001-2005","2001-2005","United Kingdom","County Of Dorset",NA,NA,NA,NA,NA,NA,1524,"Theft",721,721,263,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not explicitly quoted, but implied due to data availability and administrative convenience","LSOAs were likely chosen due to their standard use in UK census data and administrative convenience, although not explicitly justified in the paper.","Data from detected incidents of theft from vehicles (TFV) in Dorset, UK.","U.K. census Lower Super Output Areas (LSOAs) as the unit of analysis.","Based on availability of geographical coordinates for offense and offender home locations.","Distance, presence of schools, proximity to city center, presence of train stations, connectivity via major roads, population turnover, and social heterogeneity.","Offenders prefer areas closer to home, with schools (for younger offenders), closer to city centers (for adult offenders), with train stations, and with higher connectivity. They also prefer areas with higher population turnover and social heterogeneity.","Police data for detected crimes; GIS data for origin-destination flows","Crimes committed by offenders living outside the study area were excluded","Dependency in data due to reoffending could lead to errors in statistical inference.","Crimes committed by offenders living outside the study area were excluded.","Indirect measures of socioeconomic heterogeneity and population turnover.","Number of registered vehicles and car parks may not reflect actual abundance.","Focus on a 5-year period.","Study extends external validity by examining a new crime type and location, but exclusion of external crimes and focus on TFV may limit generalizability.","Findings specific to TFV in Dorset, UK; may not apply to other crimes or locations.","No direct comparisons across different contexts or time periods.","The study suggests using smaller spatial units like Lower Super Output Areas (LSOAs) for analysis.","Future research should collect data on routine activity nodes beyond home locations.","The study suggests using the discrete choice approach to examine offender decision-making.","1. Population density | Number; 2. Household size/composition | Number; 3. Population turnover | Percentage",3,NA,0,NA,0,"1. City Centers | Distance; 2. Home-to-crime distance | Distance; 3. Distance to city center | Distance",3,NA,0,16
"The Importance of Importance Sampling",NA,"2009-2018","New Zealand","National",NA,NA,NA,NA,NA,NA,2000,"Burglary",50,NA,NA,"Prior Research","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Specified","Not Specified","Not Specified","Not Specified","Not Specified","""SA2s are comparable to the units used in other crime location choice studies""","SA2s were chosen because they are comparable to units used in other crime location choice studies, indicating a basis in prior research and methodological consistency.","Distance importance sampling (DIS), simple importance sampling (SIS), and simple random sampling (SRS)","NZ Census Statistical Area 2 (SA2) as the set of locations from which an offense location could be chosen","DIS: all SA2s within 5 km of the offender's activity nodes and additional strata at increasing distances; SIS: all SA2s within 5 km and increased number of additional SA2s; SRS: random sampling based on smallest and largest sample sizes","Presence of activity nodes near potential crime locations, number of households in an area for residential burglary.","Presence of activity nodes increases choice probability.","New Zealand Police; Statistics NZ Census and Business Demography data","Data may not generalize to all offenders due to selection bias; not all activity nodes are recorded","Results may only generalize to identified offenders; data from solved cases may not represent all offenders.","Not all activity nodes of all offenders are included.","Data only includes solved cases.","None explicitly mentioned.","None mentioned.","The findings may only apply to offenders who have been identified and proceeded against, and are limited by a single data source and country.","The findings are specific to the New Zealand context.","The study does not provide direct comparisons across different contexts or time periods.","Use larger datasets with more variables and granular spatial units.","Collect data that includes a wide array of activity nodes and opportunity variables.","Use importance sampling and explore new sampling methods for other models.",NA,0,NA,0,NA,0,NA,0,"1. Day-of-week effects | Binary; 2. Time-of-day effects | Binary",2,11
"THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY","May, June, and September 2016","2013-2016","Netherlands","Not Specified (Entire Country)",0.68,NA,NA,NA,NA,NA,675,"Theft",140,140,78,"Theory-Method","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Specified","Not Specified","Not Specified","Not Specified","Not Specified","""Dutch neighbourhoods are the smallest statistical units for which Statistics Netherlands provides detailed information on structural and socio-economic features.""","Neighbourhoods were chosen due to data availability from Statistics Netherlands and their homogeneous character, which aligns with the theoretical framework.","Random sample from police suspect information system","All 12,821 neighbourhoods in the Netherlands","Offence locations geocoded to neighbourhoods","Presence of any activity node and frequency of visits to these nodes.","Probability of targeting an area increases with presence of an activity node and frequency of visits.","Police suspect information system; Online Activity Space Inventory Survey (OASIS)","Limited by small sample size and low response rate; concentrated in urban areas in the western part of the Netherlands","Accuracy of reported information not always certain; difficulties in remembering details.","Online survey may not have captured all activity nodes; less important or less frequently visited nodes underreported.","Online survey limitations in capturing all relevant data.","Average visiting frequencies may not accurately reflect the time of the offence.","Concerns about accuracy of recalled information over a three-year period.","Limited to young adults and those known to the police; findings may not apply to all offenders.","Findings specific to young adult offenders in urban areas in the western part of the Netherlands.","No direct comparisons across different contexts or time periods.","The study suggests using more detailed spatial units to capture awareness spaces and travel paths.","The authors recommend using continuous GPS-tracking to gather detailed data on activity nodes and travel routes.","Future studies should aim to increase the quality and integrality of data on awareness spaces and offense locations.","1. Gender | Percentage; 2. Age | Number; 3. Residential Population Density | Distance; 4. Median Residential Population | Number; 5. Residential population density | Percentage",5,NA,0,"1. Employee density | Percentage; 2. Dominant land use function | Binary",2,"1. Employee Density | Distance; 2. Proximity to Residential Area | Binary; 3. Proximity to Activity Nodes | Binary",3,"1. Time of Offense | Number; 2. Spatial Lag | Binary",2,15
"The usefulness of past crime data as an attractiveness index for residential burglars","2004-2006","2007-2015","Japan","Sendai City",786,NA,NA,NA,NA,NA,NA,"Burglary",369,369,70,"Theory-Method","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""Using grid cells as alternatives in the conditional logit model allows the unbiased comparison of alternatives, because the grid cells are equal in size.""","Grid cells were chosen for their equal size, allowing unbiased comparison in the model, and because physical boundaries do not significantly impact offender movement.","Spatial sampling using 500 m grid cells","1,134 grid cells as alternatives","Grid cells with residential units","Distance from offender's residence, number of residential units, proportion of single-family dwellings, number of past residential burglaries, past residential burglary rate.","Distance from residence decreases choice probability; number of residential units, proportion of single-family dwellings, number of past residential burglaries, and past residential burglary rate increase choice probability.","Japanese national police register; 2010 Japanese national census data","Real estate value data not readily available","Errors in national census data due to blank returns or mistakes by respondents.","Real estate value of residences in Japan not readily available.","Difficulty defining a single city centre point in Japan.","Overestimation of past residential burglary rate in grid cells with few residential units.","Limited to Sendai City in Japan; may not be applicable to other areas or times.","The findings may not be applicable to all countries and cities due to differences in factors influencing crime.","The findings are specific to Japan and Sendai City, which may limit their applicability to other contexts.","The study does not provide a basis for comparison across different contexts or time periods.","Consider optimal spatial units or scales.","Collect data on past crime rates and neighborhood characteristics.","Incorporate past crime data into geographic profiling models.",NA,0,"1. Real Estate Value of Residences | Index",1,"1. Number of residential units | Number; 2. Number of Residential Units | Number; 3. Road Structure | Rate; 4. Number of past residential burglaries | Number; 5. Past residential burglary rate | Rate",5,"1. Distance from offender's residence | Distance; 2. Distance from city center | Distance",2,NA,0,13
"Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions","2000-2012","2000-2012","United States","Tampa, Florida",NA,NA,NA,NA,NA,NA,NA,"Burglary",4920,7124,9288,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""because these are the smallest unit available where meaningful sociodemographic data are available""","Block groups were chosen as the spatial unit of analysis because they are the smallest units available for meaningful sociodemographic data.","Discrete choice modeling framework using cleared burglaries over a 13-year period.","334 neighborhoods available for targeting.","Geocoded incident and home addresses.","Residence-to-crime distance, neighborhood characteristics related to social disorganization, racial/ethnic heterogeneity.","Adults target neighborhoods with higher concentrated disadvantage and racial/ethnic heterogeneity; juveniles target neighborhoods with higher Black population.","Cleared burglaries; demographic and economic data from the US Census; arrest data for burglaries from the city police department","Limited by a clearance rate of around 20% in Tampa; may underestimate burglars who target locations further away","Reliance on arrest data with low clearance rates may lead to underestimation of burglars targeting distant locations.","Lack of individual characteristics (race, criminal history), land use data, and residential/commercial target distinction.","Arrest data limited by low clearance rates.","No accounting for temporal variation in target attractiveness.","No consideration of temporal variation in target attractiveness.","Findings may not generalize to other contexts or populations due to the specific focus on Tampa, Florida, and reliance on arrest data.","Findings are specific to the context of Tampa, Florida, and may not apply to other cities or regions.","Inability to account for different land uses or temporal variations limits comparisons across contexts or time periods.","Focus on small-scale urban planning using block groups as neighborhoods.","Detailed neighborhood data is important.","Use advanced statistical techniques like discrete choice modeling.","1. Racial/Ethnic Heterogeneity | Index; 2. Percent Black Residents | Percentage; 3. Percent Latino Residents | Percentage",3,NA,0,"1. Percent Occupied Housing Units | Percentage; 2. Residential Stability | Percentage; 3. Residential Stability | Index",3,"1. Euclidean Distance | Distance; 2. Average Distance Traveled | Distance; 3. Distance Squared | Distance",3,NA,0,20
"Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study","2009-2010",NA,"Netherlands","Amsterdam, Red Light District And Neighboring Area",1,NA,NA,NA,NA,NA,NA,"Drug-related",50,50,50,"Theory-Method","Cross-sectional","Multinomial Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""The rationale was that for decision making in dealing situations, what matters are the characteristics of a place that can be seen or heard, and it seemed that street segments ('street blocks,' 'face blocks') are small enough to assure that from any point in the street segment, relevant attributes of any other point in the same segment could be seen and heard.""","Street segments were chosen because they are small enough to capture relevant environmental characteristics that influence drug dealing decisions.","Systematic observations of 262 street segments in downtown Amsterdam.","Street segments where dealers solicited customers and sold drugs.","Dealers' choices of street segments for soliciting and selling.","Potential customer density, social control.","Potential customer density increases choice probability; social control does not decrease it.","Interviews with dealers; systematic observations of street segments; supplement to interview for spatial aspects",NA,"Small sample size affects statistical inference.","Limited access to certain types of dealers.","Study area and recruitment method limited access to certain dealers.","Street segments too coarse for stable characteristics.","Partial overlap of observation and interview periods.","Findings may not generalize well to other contexts or cities due to the specific characteristics of the Amsterdam Red Light District.","Highly specific to the Amsterdam Red Light District.","No basis for comparison across different contexts or time periods.","Use smaller spatial units than street segments.","More detailed data collection is recommended.","Use multiple methods to understand dealer behavior.","1. Gender | Percentage; 2. Age | Number; 3. Population Size | Number; 4. Population Distribution | Percentage",4,NA,0,"1. Physical disorder | Number",1,"1. Potential Customer Density | Distance; 2. Accessibility | Distance; 3. Accessibility of the location | Distance; 4. Average length of street segments | Distance",4,"1. Time of Day | Number; 2. Day of Week | Number",2,24
"WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO*","1996-1998","1996-1998","United States","Chicago",NA,NA,NA,NA,NA,NA,100,"Robbery",9000,75078,18017,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""the census tract was chosen as the spatial unit of analysis because it was the lowest level of aggregation for which the 'collective efficacy' measure was available and because computationally the use of the resource-intensive discrete choice model with smaller spatial units of analysis would have required a drastic reduction in sample size.""","Chosen due to data availability for collective efficacy measures and computational limitations with smaller units","Random sampling of 3,000 robbery cases for model development and another 6,000 cases for testing.","Based on 844 census tracts in Chicago.","Based on characteristics of census tracts such as distance, racial and ethnic dissimilarity, and gang territorial dissimilarity.","Distance from home, racial and ethnic dissimilarity, gang territorial dissimilarity, presence of drug markets, prostitution markets, high schools, retail activities, and collective efficacy.","Distance from home decreases choice probability; similarity in racial and ethnic composition, presence of drug markets, prostitution markets, high schools, and retail activities increase choice probability; collective efficacy decreases choice probability.","CPD records; U.S. Census Bureau; Chicago Police Department; Chicago Public Schools; Claritas; Sampson et al.","Excluded tracts with a population below 100; unable to identify repeat offenders across incidents","Exclusion of unreported robberies may underestimate the attraction value of illegal markets.","Unable to identify repeat offenders across multiple incidents.","Collective efficacy measure has greater error due to aggregation from survey data.","Collective efficacy measure's aggregation may introduce measurement errors.","Neglects temporal variation in robbery patterns.","Limited to Chicago; use of census tracts may affect generalizability.","Findings specific to Chicago's demographic and spatial context.","No direct comparisons across contexts or time periods.","Use smaller units of spatial aggregation.","Incorporate temporal data to improve understanding of spatial target selection.","Integrate journey to crime research with geographic distribution of criminal opportunities.","1. Population size | Number; 2. Racial and ethnic composition | Percentage; 3. Age of offenders | Number; 4. Sex of offenders | Number; 5. Racial and ethnic dissimilarity | Number",5,"1. Retail employment | Density",1,NA,0,"1. Home-to-crime distance | Distance; 2. Euclidean distance | Distance",2,"1. Time and Place of Incident | Number",1,30
