Study_ID,Title_of_the_study,Citation,Year,Size_of_the_unit,Unit,Name_of_the_unit,No_of_units,No_of_incidents,Inferred_unit_size,DOI,ISSN,Journal,Volume,Issue,Data_Collection_Period,Study_Period,Country,City_Region,Crime_Type,Crime_Type_Standardized,Rationale_Category,Study_Design,Discrete_Choice_Model,Estimation_Method,Quoted_Rationale,Justification_Summary,Sampling_Approach,Choice_Set_Definition,Alternative_Selection,Significant_Predictors,Effect_Directions,Data_Sources,Data_Availability,Data_Quality_Issues,Missing_Data_Issues,Data_Source_Limitations,Measurement_Issues,Temporal_Limitations,Generalizability,Context_Specificity,Comparative_Limitations,Spatial_Scale_Recommendations,Data_Collection_Suggestions,Methodological_Improvements,Demographic_Variables,Demographic_Count,Economic_Variables,Economic_Count,Environmental_Variables,Environmental_Count,Distance_Variables,Distance_Count,Temporal_Variables,Temporal_Count,Total_Variables
37,Location Choice of Snatching Offenders in Chennai City (Wards),"(Kuralarasan & Bernasco, 2022)",2022,2.18,km2,Wards,201,1573,NA,https://doi.org/10.1007/s10940-021-09514-9,0748-4518,Journal of Quantitative Criminology,38,3,2010,2010-2017,India,Chennai City,Theft,Theft,Prior Research,Cross-sectional,Conditional Logit,Maximum Likelihood,"""In terms of surface area, the wards are similar in size to neighborhoods or census tracts that have been used in crime location studies elsewhere""",Wards were used as they are comparable to units used in other crime location studies.,"Police-recorded snatching offenses from the State Crime Records Bureau, Tamil Nadu, India.",201 wards of Chennai City.,Each ward is a potential location for a snatching offense.,"Distance from home, prior offending locations.",Shorter distances and prior offending locations increase choice probability.,"State Crime Records Bureau, Tamil Nadu, India","Limited due to underreporting; only about 6-8% of theft victims report to the police, and only about one-third of reported snatching offenses are detected",Police-recorded thefts grossly underestimate real numbers due to low reporting rates.,Data on snatching offenses only reflect a small fraction of actual offenses due to underreporting.,Police-recorded data may not accurately represent true crime situation.,Google Earth data do not differentiate facilities by size.,Study does not account for temporal variations in crime frequencies or location preferences.,High underreporting and potential selectivity jeopardize generalizations; findings may not be representative of all snatching incidents.,Findings are specific to Chennai City; need for replication in other contexts.,Need for replication in other contexts; operationalization of crime generators and attractors in non-western cultures is a challenge.,Analyze the impact of spatial units on findings systematically.,Collect detailed data on facilities and their sizes.,Use granular spatial units and analyze temporal variations.,Population size; Average population per ward; Age structure of offenders; Gender ratio of offenders,4,NA,0,"Retail businesses; Religious facilities (temples, churches, mosques); Educational institutions (schools, colleges); Marriage halls; Jewelry shops; Personal care facilities (barbershops, beauty parlors); Restaurants; Medical facilities (hospitals, medical services)",8,Home-to-crime distance; Journey to crime; Distance to ward centroids; Log-distance effect; Transport hubs; Public transport usage,6,Ward Area; Ward Population,2,20
38,The Influence of Activity Space and Visiting Frequency on Crime Location Choice: Findings from an Online Self-Report Survey,"(Menting et al., 2020)",2020,2.63,km2,Neighborhood,12821,140,NA,https://doi.org/10.1093/bjc/azz044,0007-0955,The British Journal of Criminology,60,2,"May, June, and September 2016",2013-2016,Netherlands,Not Specified (Entire Country),Theft,Theft,Theory-Method,Cross-sectional,Conditional Logit,Maximum Likelihood,"""Dutch neighbourhoods are the smallest statistical units for which Statistics Netherlands provides detailed information on structural and socio-economic features.""","Neighbourhoods were chosen due to data availability from Statistics Netherlands and their homogeneous character, which aligns with the theoretical framework.",Random sample from police suspect information system,"All 12,821 neighbourhoods in the Netherlands",Offence locations geocoded to neighbourhoods,Presence of any activity node and frequency of visits to these nodes.,Probability of targeting an area increases with presence of an activity node and frequency of visits.,Police suspect information system; Online Activity Space Inventory Survey (OASIS),Limited by small sample size and low response rate; concentrated in urban areas in the western part of the Netherlands,Accuracy of reported information not always certain; difficulties in remembering details.,Online survey may not have captured all activity nodes; less important or less frequently visited nodes underreported.,Online survey limitations in capturing all relevant data.,Average visiting frequencies may not accurately reflect the time of the offence.,Concerns about accuracy of recalled information over a three-year period.,Limited to young adults and those known to the police; findings may not apply to all offenders.,Findings specific to young adult offenders in urban areas in the western part of the Netherlands.,No direct comparisons across different contexts or time periods.,The study suggests using more detailed spatial units to capture awareness spaces and travel paths.,The authors recommend using continuous GPS-tracking to gather detailed data on activity nodes and travel routes.,Future studies should aim to increase the quality and integrality of data on awareness spaces and offense locations.,Gender; Age; Residential Population Density; Employee Density; Median Residential Population,5,Residential Population Density; Employee Density,2,Residential population density; Employee density; Dominant land use function; Crime attractors; Visiting frequency,5,Proximity to Residential Area; Proximity to Activity Nodes; Distance Between Locations; Neighbourhood Boundaries,4,Time of Offense; Spatial Lag; Residential Population Density; Employee Density; Cluster-Corrected Standard Errors,5,21
39,Right place  right time? Making crime pattern theory time-specific,"(S. van Sleeuwen et al., 2021)",2021,2.63,km2,Neighborhood,71,13305,NA,https://doi.org/10.1186/s40163-021-00139-8,21937680,Crime Science,10,1,May to August 2019,2017,Netherlands,The Hague And North-Holland,Multiple Types,Multiple/Mixed Crime Types,Theory-Method,Cross-sectional,Conditional Logit,Bootstrapped Standard Errors,"Not explicitly quoted, but implied by spatial accuracy and data availability","Neighbourhoods were chosen due to spatial accuracy and data availability, aligning with the study's theoretical framework",Online survey using police data on suspects from specific regions in the Netherlands.,"13,305 neighbourhoods in the Netherlands.",Based on regular visitation at same or different time of day as crime event.,Neighborhoods routinely visited at the same time of day as the crime event.,Increased likelihood of committing crimes in neighborhoods visited at the same time of day.,Dutch police regions The Hague and North-Holland; online survey,Not shared due to privacy reasons,Uncertainty in recall accuracy from respondents' memory.,Small sample size of 71 offences.,"Data sourced from police register data, potentially not representative of broader offender population.",Retrospective survey with potential memory recall issues.,Tentative conclusions due to small sample size and potential selection bias.,Findings may not generalize to broader offender population or other regions.,Findings specific to minor offences and offenders in western Netherlands.,Limited to specific context; no comparison across different contexts or time periods.,Use detailed spatial scales such as neighborhoods to analyze crime patterns.,Utilize online survey instruments and consider smartphone applications or GPS-tracking data for future studies.,Enhance data collection by using more detailed temporal granularity and spatial accuracy.,NA,0,NA,0,Home occupancy in residential neighbourhoods; Number of cars parked on a parking lot; Presence of locks and escape routes; Residences; Schools; Jobs; Sports activities; Shopping; Going out; Neighbourhoods of offenders' activity nodes,10,Spatial Lags; Neighbourhood Proximity; Geocoded Neighbourhoods,3,Neighbourhood routinely visited at same time of day as crime event; Neighbourhood routinely visited at different time of day as crime event; Time of day; Crime committed in neighbourhood; Pseudo-R 2,5,18
40,Burglars blocked by barriers The impact of physical and social barriers on residential burglars target location choices in China,"(Xiao et al., 2021)",2021,2.74,km2,Community,2643,3860,NA,https://doi.org/10.1016/j.compenvurbsys.2020.101582,0198-9715,"Computers, Environment and Urban Systems",86,NA,2012-2016,2012-2016,China,Zg City,Burglary,Burglary,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,"""Communities have a relatively homogeneous population and their average size is 2.74 km-sq., which closely resembles the size of the units of analysis in many other crime location choice studies (e.g., Menting et al., 2016).""",Communities were chosen due to their homogeneous population and consistency with other studies.,"The study used data on 3860 residential burglaries committed by 3772 burglars, focusing on arrested offenders only.",Choice sets were constructed by considering physical barriers between the centroid of a burglar's residential community and potential target communities.,Alternatives were selected based on physical barriers between origin and destination.,"Distance from home, physical barriers (rivers and major roads), social barriers (local vs. nonlocal communities).",Physical barriers decrease targeting likelihood; being closer to home increases targeting likelihood.,The Municipal Public Security Bureau of ZG city; census data from 2010,Limited to arrested burglars; data from non-arrested burglars not included,"Limited to arrested burglars, which may not represent all burglars.",Lack of direct income level data; substituted with indirect measures.,Temporal mismatch between census data (2010) and burglary data (2012-2016).,NA,Temporal mismatch affects social barrier and control variables.,The findings are specific to arrested burglars in ZG city and may not generalize to all burglars in the city or to other contexts.,"The study's findings are specific to the Chinese context, particularly the distinction between local residents and domestic migrant workers.","The study uses census data from 2010 for analysis of data from 2012 to 2016, introducing a temporal mismatch that limits comparisons across time periods.",Consider the impact of physical and social barriers at various scales.,Include more direct measures of wealth and address temporal mismatches in data collection.,Improve analytical approaches by including non-arrested burglars and addressing data limitations.,"Proportion of local residents with ZG city Hukou status; Community categorization by majority population type (local, domestic migrant, mixed); Social barriers based on Hukou status; Limited social network overlap; Number of households in a community",5,"Proportion of houses built after 2000; Average rent price; Rent categories (no rent, low, medium, high); Number of households",4,Proportion of high-rise buildings; Proportion of houses built after 2000; Natural log of the number of households; Average rent price,4,Physical Barriers; Distance Measure; Accessibility Measure,3,Time Period; Distance; Affluence Measures; Building Type; Household Count,5,21
41,Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,"(Yue et al., 2023)",2023,2.81,km2,Community,1636,1540,"The paper does not report the spatial unit size directly but uses “community” as the spatial unit. ZG city (Guangzhou) is divided into 2,643 communities. The average area per community was estimated by dividing the total area of Guangzhou (7,434 km²) by the number of communities (2,643), resulting in an average of approximately 2.81 km² per community. Although the analysis included only 1,636 communities due to data coverage, the average size was calculated using all 2,643 communities to reflect the full spatial division of the city.",https://doi.org/10.1016/j.apgeog.2023.103025,0143-6228,Applied Geography,157,NA,2016-2019,2017-2018,China,"Zg City, Southeast China",Theft,Theft,Not specified,Cross-sectional,Conditional Logit,Maximum Likelihood,Not explicitly stated,Communities are used as spatial units likely due to their relevance for socioeconomic analysis and residence-crime proximity.,Communities in ZG city serve as spatial units or alternatives.,"Communities are potential locations for crimes, with a dichotomous dependent variable.","Alternatives are communities that can be chosen for committing a crime, with the number varying by offender.","Number of people on the street, fences, plants, grasses, sidewalks, and proximity to the offender's residence.","More people on the street, fences, and plants increase choice probability; more grasses and sidewalks decrease it.",Baidu Street View images; crime data from the police department of ZG city,Data is reasonably matched in time; no significant changes expected in the built environment,SVIs are static and cannot capture dynamic changes in on-street population.,"Small objects like broken windows, litter, and graffiti are not accounted for.",SVIs are limited by their static nature.,Uniform alternative set for offenders may not reflect individual preferences.,SVIs cannot capture temporal changes in on-street population.,"The findings are generally aligned with previous studies, but the study's focus on a specific city in China may limit generalizability to other contexts.","The study's findings are specific to the context of ZG city, and the use of Baidu Street View images may not be applicable in other regions where such data is not available or is less detailed.","The study does not compare across different cities or time periods, which could provide insights into how findings vary in different contexts.",Focus on community-level analysis.,Use SVIs and deep learning techniques for more accurate data.,Integrate image classification and object detection techniques.,Percent migrants; Number of people on the street,2,Percent migrants; Percent lowly-rent houses,2,Fences; Walls; Windows; Grass; Sidewalks; Plants; Number of people on the street; Commercial interfaces; Shops facing the street; Buildings along the street; Streetlights; Surveillance cameras; Trees; Lawns; ATMs; Banks; Subway stations; Bus stops; Schools; Hospitals,20,Offender Residence-Crime Proximity,1,Residence-crime proximity; Crime attractors; Crime generators; Crime detractors; Percent migrants; Percent lowly-rent houses,6,31
42,Biting Once Twice: the Influence of Prior on Subsequent Crime Location Choice,"(Lammers et al., 2015)",2015,2.96,km2,Postal_code_area,142,12639,NA,https://doi.org/10.1111/1745-9125.12071,0011-1384,Criminology,53,3,2006-2009,2006-2009,Netherlands,The Hague (Greater Area),Multiple Types,Multiple/Mixed Crime Types,Theory-Method,Longitudinal,Conditional Logit,Maximum Likelihood,"""A four-digit postal code area is a useful and plausible indication of the area people are expected to be familiar with when for instance living in or (regularly) visiting that area because 1) Dutch postal code areas are designed to have minimal travel restrictions for postal delivery services usually traveling on foot or bicycle, and 2) the size of a postal code area is inversely related to its level of urbanization that matches the geographic coverage of residents.""","Four-digit postal code areas are used because they are considered a familiar scale for individuals and match urbanization patterns, making them appropriate for studying crime location choices.","Random sample of 10,000 offenders from a police information system, with 3,666 included after exclusions.",Geographical set of alternatives from 142 four-digit postal code areas in the greater The Hague area.,Offender's choice of area for committing a crime.,"Prior crime locations, distance to prior crime locations, recency of prior crimes, frequency of crimes in an area, type of crime.",Prior crime locations increase choice probability; distance to prior crime locations decreases choice probability.,Police information system used by the greater The Hague Police Service,"Limited to cleared offense data from police records, which might suffer from detection bias",Detection bias due to reliance on cleared offense data.,Crimes committed outside the study area not accounted for.,"Limited to greater The Hague area, largely urban.",Four-digit postal code areas may be too large.,Not explicitly mentioned.,"Findings might not generalize to other regions, especially rural areas.",Findings are specific to the greater The Hague area.,No basis for comparison across different contexts or time periods.,The study suggests using larger areas to increase generalizability.,The authors recommend collecting data on offenders' daily routines and locations.,The study suggests using offender-based research methods to gather more detailed data.,Population Density; Proportion of Single-Person Households; Proportion of Residents with a Non-Western Ethnic Background,3,"Population density; Proportion of single-person households; Proportion of residents with a non-Western ethnic background; Number of retail stores; Number of hotels, restaurants, and bars; Number of people working",6,"Retail stores; Hotels, restaurants, and bars; Schools; Culture; Health care; Sports and leisure facilities; Number of people working",7,Distance to Prior Crime Location; Distance from Residential Area to Target Areas,2,Recency Variables; Residential Area Variables; Population Density; Proportion of Single-Person Households; Proportion of Non-Western Residents,5,23
43,Co-offenders' crime location choice: Do co-offending groups commit crimes in their shared awareness space?,"(Lammers, 2017)",2017,2.96,km2,Postal_code_area,142,3037,"The paper does not report the spatial unit size. It uses 5,286 street segments in the study area as spatial units but does not specify their area. We estimated the average segment size by dividing the total land area (150 km²) by the number of street segments. 0.284 km²",https://doi.org/10.1093/bjc/azx069,0007-0955,The British Journal of Criminology,58,5,2006-2009,2006-2009,Netherlands,The Hague (Greater Area),Burglary,Burglary,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,"""Since the four-digit postal code areas were designed to have minimal travel restrictions for postal delivery services travelling by bike or foot (Bernasco 2010b), it is plausible that those living in or frequently visiting such an area will be familiar with it.""","Chosen due to design for minimal travel restrictions, making them practical and convenient for analysis.","Started with a sample of 10,000 offenders from previous reports and excluded those not meeting specific criteria.",142 four-digit postal code areas of the greater The Hague region.,Geographical set of postal code areas.,"Current home location, previous home locations, previous crime locations.",Areas known to multiple offenders are more likely to be targeted.,Police information system of the greater The Hague Police Service; population registration data (BRP); LISA database; Statistics Netherlands,Data not specifically sampled for co-offending; only police arrest data on cleared offences used; potential issues with incomplete data on offender groups,Police arrest data may over-represent co-offending; data biased due to differences between arrested and non-arrested offenders.,Lack of data on non-arrested offenders; potential overestimation of shared awareness space.,Reliance on police arrest data; only includes cleared offenses.,Awareness space measured using only home and crime locations; misses other areas like work or school.,Study limited to crimes between 2006 and 2009.,"Limited to the greater The Hague region, which restricts generalizability to other areas.",Findings are specific to the greater The Hague region and may not apply elsewhere.,No direct comparisons across different contexts or time periods.,Study larger areas to generalize findings.,Interview offenders to gather more detailed information about their awareness spaces and co-offending networks.,Use more detailed spatial units or incorporate additional data sources.,Total number of residents; Number of residents with a non-Western ethnic background; Number of single-person households; Population density,4,"Total number of residents; Number of residents with a non-Western ethnic background; Number of single-person households; Number of retail stores; Number of hotels, restaurants, bars, schools, cultural facilities, health care institutions, and sport and leisure facilities",5,Retail stores; Hotels; Restaurants; Bars; Schools; Cultural facilities; Health care institutions; Sport and leisure facilities; Population density,9,Home Location; Previous Home Location; Previous Crime Location,3,Area Characteristics; Home Location; Previous Home Location; Previous Crime Location; Shared Awareness Space,5,26
44,Family Matters: Effects of Family Members’ Residential Areas on Crime Location Choice*,"(Menting et al., 2016)",2016,2.96,km2,Postal_code_area,142,19420,NA,https://doi.org/10.1111/1745-9125.12109,111384,Criminology,54,3,2006-2009,2006-2009,Netherlands,The Hague (Greater Area),Not Specified,Multiple/Mixed Crime Types,Theory-Method,Cross-sectional,Conditional Logit,Maximum Likelihood,"""The four-digit postal areas are therefore perfectly suited for a crime location choice study because most people will be familiar with these areas when living there or (frequently) visiting the area.""","The spatial units were chosen because they are familiar to residents and visitors, aligning with the study's focus on awareness spaces.",Data from the police information system was used to sample offenders and their offenses.,"Four-digit postal code areas in the greater The Hague area, totaling 142 alternative areas.",Alternatives were selected based on the four-digit postal code areas.,Current and former residential areas of family members.,Current familial residential areas increase the probability of being targeted more than former familial residential areas.,Police information system; Population registration data (BRP); LISA data; Census-like statistics from Statistics Netherlands,NA,Indirect measurement of awareness spaces based on family visits.,No direct data on offenders' time spent in family members' areas.,Reliance on register data without direct activity measures.,Awareness spaces not directly measured.,No consideration of changes in awareness spaces over time.,Findings may not generalize to other geographical areas or populations due to the specific urban context.,Findings are specific to the urban context of The Hague.,The study does not allow for comparisons across different crime types or contexts.,Research should be conducted in larger geographical areas.,Direct measurement of awareness spaces is recommended.,Future studies should improve data collection by directly measuring awareness spaces.,Population density; Proportion of single-person households; Proportion of residents with a non-Western background; Average population size; Average area size; Urban nature of the study area; Ethnic diversity,7,"Population Density; Proportion of Single-Person Households; Proportion of Residents with a Non-Western Background; Number of Retail Stores; Number of Hotels Restaurants Bars; Number of Schools; Number of Culture, Health-Care, and Sports/Leisure Facilities; Number of People Working",8,"Retail stores; Bars/nightlife; Schools; Culture, health-care, and sports/leisure facilities; Guardianship",5,Euclidean Distance,1,"Previous Crime Location; Distance; Population Density; Single-Person Households; Non-Western Background; Retail Stores; Hotels Restaurants Bars; Schools; Culture, Health-Care, and Sports/Leisure Facilities; People Working",10,31
45,A Time for a Crime: Temporal Aspects of Repeat Offenders’ Crime Location Choices,"(S. E. M. van Sleeuwen et al., 2018)",2018,2.96,km2,Postal_code_area,142,12639,NA,https://doi.org/10.1177/0022427818766395,0022-4278,Journal of research in crime and delinquency,55,4,2006-2009,2006-2009,Netherlands,The Hague (Greater Area),Multiple Types,Multiple/Mixed Crime Types,Practical Constraint,Cross-sectional,Conditional Logit,Maximum Likelihood,"""In previous studies, it was argued that four-digit postal code areas are well-suited for crime location choice research, as these administrative areas were constructed in such a way to have minimal travel restrictions for postal delivery services that usually travel on foot or bicycle.""","Four-digit postal code areas were chosen because they are well-suited for crime location choice research, providing a practical and familiar scale for analysis.","Random sample of 10,000 suspects from The Hague Police Service registration data.",142 four-digit postal code areas in the greater The Hague area.,Postal code areas used as alternatives for each offense.,Timing of previous offenses within the week and day.,Offenders are more likely to return to previously targeted areas at similar times and days.,Dutch Suspect Identification System (HKS); nationwide citizen information system (BRP); Statistics Netherlands; LISA database,"Limited by reliance on police data, which may introduce detection bias",Detection bias due to reliance on police data.,Data on nonarrested offenders.,Police data may not capture all crimes.,Assumption of learning from previous experiences not explicitly tested.,Potential issues with temporal resolution of crime timing.,The findings may not generalize to nonarrested offenders due to potential differences in the probability of arrest.,"The study's findings are based on data from the Netherlands, which may have specific cultural, legal, or environmental factors.",The study does not provide direct comparisons across different contexts or time periods.,NA,Systematic observations of time-varying target attractiveness.,Incorporate cyclic time effects into predictive models.,Proportion of residents with a non-Western background; Proportion of single-person households; Population density,3,Proportion of residents with a non-Western background; Proportion of single-person households; Population density; Number of employees; Presence of facilities,5,Facilities,1,Euclidean distance; Distance within same postal code area; Accessibility based on distance; Spatial boundaries; Transportation network accessibility,5,Previous crime location on same weekday; Previous crime location on different weekday; Previous crime location on same weekend day; Previous crime location on different weekend day; Previous crime location on different week part; Previous crime location with a . . . hour difference; Offender's current or former residence; Distance from current residential area to the target area; Proportion of residents with a non-Western background; Proportion of single-person households; Population density; Number of employees; Presence of facilities,13,27
46,A Sentimental Journey To Crime : Effects of Residential History on Crime Location Choice,"(Bernasco, 2010a)",2010,2.96,km2,Postal_code_area,4000,7179,"Inferred from other papers, which reported similar postoal code area in Nederlands",https://doi.org/10.1111/j.1745-9125.2010.00190.x,0011-1384,Criminology,48,2,NA,2004-2005,Netherlands,The Hague (Greater Area),Multiple Types,Multiple/Mixed Crime Types,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,"""In terms of their size, shape, and topography, the postal code area is a useful approximation of the area one would expect people to be familiar with if they lived within it.""",Postal code areas are used because they are a practical and data-rich scale that reflects local familiarity and travel patterns,Random sample from police records,"Each of the 4,000 postal code areas as potential alternatives for each offense",Based on offender's residential history and crime location,"Current and former residential areas, duration of residence, recency of moving, proximity to these areas.",Living in an area increases the likelihood of committing a crime there; current residence has a stronger effect than former residence.,"Police information system; population registration data (GBA); national database of demographic, social, and economic information on postal code areas",Reliable records of previous addresses; 85% of sample tracked back more than 5 years; 50% tracked back more than 10 years,Missing information on past home addresses could lead to conservative estimates.,Residential histories for some offenders could only be reconstructed for the last 2 years; exclusions due to missing data on past addresses.,Reliable records of previous addresses are a strength but not common in other countries.,Use of postal code areas as a proxy for familiarity.,Data availability limited to 1994 onward.,Limited to the Netherlands; may not generalize to other countries or contexts.,Findings specific to the Netherlands.,No direct comparisons across contexts or time periods.,Use more detailed data on activity patterns.,"Incorporate locations of schools, workplaces, and other anchor points.",Incorporate detailed spatial data and activity patterns into analysis.,Population size; Percentage of single-person households; Level of urbanization; Birth; Death; Nationality; Marriage; Divorce; Childbirth; Residential addresses,10,Poverty level; Level of urbanization,2,NA,0,Distance from home to crime location; Distance to current area of residence; Shortest distance to former area of residence,3,Home Hypothesis; History Hypothesis; Recency Hypothesis; Duration Hypothesis; Proximity Hypothesis; Population Size; Percentage of Single-Person Households; Poverty Level; Level of Urbanization; Whether Offender Lives in the Area; Whether Offender Has Lived in the Area Before; Duration of Residence; Time Since Moved Out of the Area; Distance to Current Area of Residence; Distance to Former Area of Residence,15,30
47,Modeling micro-level crime location choice: Application of the discrete choice framework to crime at places,"(Bernasco, 2010b)",2010,2.96,km2,Postal_code_area,23984,1871,"Inferred from other papers, which reported similar postoal code area in Nederlands",https://doi.org/10.1007/s10940-009-9086-6,0748-4518,Journal of Quantitative Criminology,26,1,2002-2007,2002-2007,Netherlands,The Hague (Greater Area),Burglary,Burglary,Theory-Method,Cross-sectional,Multinomial Logit,Maximum Likelihood,"""The main criterion for choosing a particular unit of analysis is the theory to be tested. The unit of analysis should match the theory.""",The spatial units were chosen to match the theory being tested and to follow recommendations for smaller units to better understand constituting elements and their relationships.,Random sampling,"Constructed from 23,984 postal code areas","Random sample of 1,499 alternatives from the full choice set","Number of residential properties, proximity (negative log distance), ethnic composition.",Proximity increases choice probability; native Dutch burglars avoid ethnically mixed areas.,Police files from Haaglanden police force; public access data file from Statistics Netherlands,"Limited to cleared cases, which may introduce bias",Selective sample of cleared cases may introduce bias.,Uncleared cases are not included in the analysis.,Limited data on postal code attributes.,Spatial competition model limitations in capturing environmental impacts.,Data from 2002-2007 may not reflect current trends.,Limited by geographic specificity to the Greater The Hague area.,Findings specific to the Greater The Hague area and its spatial dynamics.,Inability to compare across different contexts or time periods.,Use small spatial units like postal code areas for future research.,Implies need for detailed data at small spatial scales.,Suggests using models accounting for spatial competition and hierarchical decision-making.,Number of Residents; Age Composition; Ethnic Composition,3,Average Value of Properties; Number of Residential Properties,2,Residential Units; Spatial Competition,2,Euclidean Distance; Physical Barriers; Journey-to-Crime Distance; Spatial Competition Variable; Home-to-Target Distance,5,Distance between burglar's home and target address; Number of residential units in postal code areas; Ethnic composition of population in postal code areas; Spatial competition variable,4,16
48,Effects of Residential history on Commercial Robbers' Crime Location Choices,"(Bernasco & Kooistra, 2010)",2010,2.96,km2,Postal_code_area,4006,276,"Inferred from other papers, which reported similar postoal code area in Nederlands",https://doi.org/10.1177/147737081036337,1477-3708,European Journal of Criminology,7,4,2004-2005,2004-2005,Netherlands,Nationwide,Robbery,Robbery,Theory-Method,Cross-sectional,Conditional Logit,NA,"""In terms of size, shape and topography, the postal code area is a useful spatial unit of analysis because it approximates the area one would expect people to be familiar with if they lived within it.""","Postal code areas are chosen because they represent familiar areas for residents, consistent with crime pattern theory.","Selected all commercial robberies in 2004 and 2005, then filtered for solitary offenders with available residential histories.",Compared targeted postal code areas with alternative areas not targeted by offenders.,Postal code areas not targeted by offenders were used as alternatives.,"Duration of residence in current and former areas, recency of residence in former areas.",Longer durations and more recent residences increase choice probability.,"National Commercial Robbery Registration System (LORS); Nationwide Citizen Information System (GBA); Database containing demographic, social, and economic information on postal code areas",Limited by reliability of residential addresses in GBA system,Inaccuracies in residential addresses in the GBA system; data unreliability masking real effects.,Limited sample size.,GBA system inaccuracies in reflecting current residences.,Approximation of 'awareness space' by residential experience.,Focus on 2004 and 2005.,Findings may not generalize to other types of crimes or geographical contexts.,Findings are specific to commercial robberies in the Netherlands.,No direct comparisons across different contexts or time periods.,Explore other spatial scales or units for analysis.,Consider direct measurements of awareness space by contacting offenders for their recollections of past spatial behavior.,Improve the reliability of residential histories by assessing their accuracy through offender accounts.,Population density; Population size; Population percentages of 15-25-year-old; Foreign-born residents; Single residents,5,Mean value of residential property; Total floor area of retail businesses,2,Total floor area of retail businesses; Postal code area characteristics,2,Distance to the nearest highway ramp; Distance between current residence and crime location,2,"Total floor area of retail businesses; Distance to the nearest highway ramp; Mean value of residential property; Population density; Population size; Population percentages of 15-25-year-old, foreign-born, and single residents; Distance decay; Duration of residence",8,19
49,Formal evaluation of the impact of barriers and connectors on residential burglars' macro-level offending location choices,"(Clare et al., 2009)",2009,6.7,km2,Residential_suburb,291,1761,NA,https://doi.org/10.1375/acri.42.2.139,0004-8658,Australian & New Zealand Journal of Criminology,42,2,2001-2002,2001-2002,Australia,Perth,Burglary,Burglary,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,"Not explicitly stated, but implied due to administrative convenience and data availability",Suburbs were chosen due to their alignment with administrative units and available data in Western Australia,Data from Western Australian Police on residential burglary incidents.,291 residential suburbs selected as potential targets.,Suburbs included as part of the choice set for each offender.,"Physical barriers (rivers and major roads), connectors (train lines), distance, and age.","Barriers decrease choice probability; connectors increase it. Distance decreases choice probability, with a greater effect for juveniles.",Western Australian Police; Australian Bureau of Statistics (ABS),Limited by low identification rate of offenders; only 49.7% of identified cases were included in the final dataset,Low detection rate may have influenced outcomes in a nonrandom way.,Unique identification of offenders was not possible.,Exclusion of suburbs outside Perth metropolitan area.,Model may not fully account for unconscious routine behaviors.,NA,Exclusion of suburbs outside Perth metropolitan area limits generalizability.,"Findings are specific to Perth, Western Australia.",Spatial scale selection may not be applicable across different cities.,Use more uniform areas for analysis.,Not mentioned.,Consider the role of unconscious routine in offender behavior.,Age; Indigenous Status; Sex; Population Size; Population Density; Ethnic Heterogeneity; Residential Mobility Rates; Total Residential Units,8,Victim Suburb Weekly Income; Socio-Economic Index for Areas (SEIFA); Median Weekly Income Bracket,3,Physical Barriers - Swan River; Physical Barriers - Major Roads; Connectors - Train Network; Land Use - Suburb Size; Land Use - Population Density,5,W ij; F ij; T ij; D ij; A i/J i,5,Time Period; Clustering,2,23
