S.No,,Article Title,Abstract,ISSN,eISSN,Publication Year,Volume,Issue,Start Page,End Page,DOI Link,Early Access Date,Date of Export
202,,Strengthening Theoretical Testing in Criminology Using Agent-based Modeling,"Objectives: The Journal of Research in Crime and Delinquency (JRCD) has published important contributions to both criminological theory and associated empirical tests. In this article, we consider some of the challenges associated with traditional approaches to social science research, and discuss a complementary approach that is gaining popularityagent-based computational modelingthat may offer new opportunities to strengthen theories of crime and develop insights into phenomena of interest. Method: Two literature reviews are completed. The aim of the first is to identify those articles published in JRCD that have been the most influential and to classify the theoretical perspectives taken. The second is intended to identify those studies that have used an agent-based model (ABM) to examine criminological theories and to identify which theories have been explored. Results: Ecological theories of crime pattern formation have received the most attention from researchers using ABMs, but many other criminological theories are amenable to testing using such methods. Conclusion: Traditional methods of theory development and testing suffer from a number of potential issues that a more systematic use of ABMsnot without its own issuesmay help to overcome. ABMs should become another method in the criminologists toolbox to aid theory testing and falsification.",0022-4278,1552-731X,2014,51,4,509,525,http://dx.doi.org/10.1177/0022427814531490,,22/02/2024
203,,Take the car keys away: Metropolitan structure and the long road to delinquency,"Purpose: This research fulfills a void in offender mobility discourse. Metropolitan socioeconomic and spatial structure, defined in crime pattern theory as the urban backcloth, plays a significant role in shaping travel behavior; and yet, current analysis of offender mobility continues to favor individual characteristics to account for travel range. Methods: Using a large sample of juveniles, both delinquent and at-risk youth (N=2,552), this study compared the predictive utility of individual characteristics against indicators of urban backcloth. Results: Delinquent youth were found to be more sensitive to the environmental conditions exerted by community-level socioeconomic characteristics than their at-risk counterparts. However, two factors-intercity hierarchical structure and motor vehicle access-accounted for travel variability among all youth. Conclusions: Offending behavior must be examined within the context of a dynamic environmental context formed by the metropolitan socioeconomic and spatial structure. Delinquents constitute an identifiable subgroup of youth. (C) 2011 Elsevier Ltd. All rights reserved.",0047-2352,1873-6203,2012,40,1,83,93,http://dx.doi.org/10.1016/j.jcrimjus.2011.12.002,,22/02/2024
204,,Threshold Analysis: Differential Technique for Interpreting Criminal Records in Colombia (2019),"In the world, crime is measured based on indicators that represent criminality and figures of violence. For this reason, it is important to establish the driving factors of criminality on a jurisprudential and criminal level. In Colombia, consolidating this measurement poses various challenges. However, homicide remains one of the most representative crimes, not only because of the veracity of the statistical data it generates, but because cognitive, social and economic conditions associated with the victim or aggressor are circumscribed within the action's execution (Brookman, 2005). The methodology is focused on explaining, interpreting and applying the concepts developed in the threshold analysis using data from SIEDCO1. In this study's case, common homicides recorded in 2019 in the city of Bogota were correlated with this city's behavior in the last five years by localities, as well as by political departments and municipalities on a national level. Using the above, another information analysis tool that allows interpreting from an objective perspective will be made known. As a result, it was established that the threshold analysis allows combining historical data, averages and standard deviations to methodologically determine and guide timely decision-making, recognizing crime pattern detection (positive and negative) on different levels of geographic disaggregation (regions, departments, municipalities, localities, communes, neighborhoods, etc.), contributing to developing public policies in terms of coexistence and security, and planning and distributing interinstitutional efforts against the conducts that affect the community.",1794-3108,2256-5531,2020,62,2,33,54,,,22/02/2024
205,,Property crime on college campuses: A case study using GIS and related tools,"Crime on college campuses. appears related to the Physical characteristics and routines of the people occupying that space. Environmental criminology suggests that nodes locations to and from which people routinely travel help explain the distribution of crime in a given space. The current study examined the role of nodes in explaining the distribution of property crime on a college campus using 24 months of police incident data. More specifically, using GIS and related tools, we compared the distribution of property crime occurring at locations in a major medical center on the campus with locations in the non-medical side. Results revealed more property crime occurred on the medical side of campus and that differences existed in crime patterns for the two nodes based on time, location and season. We conclude by discussing the utility of GIS in allocating resources and crime prevention strategies for college campuses.",0955-1662,1743-4645,2014,27,3,263,283,http://dx.doi.org/10.1057/sj.2012.24,,22/02/2024
206,,Do Schools Cause Crime in Neighborhoods? Evidence from the Opening of Schools in Philadelphia,"Objectives To assess the impact of schools on crime in neighborhoods. Methods We utilize data of charter and public schools in Philadelphia to estimate the effect of school openings on neighborhood crime patterns between 1998 and 2010. We estimate the change in crime in areas surrounding schools before and after their opening compared to areas where schools were always open with Poisson regression models. We also estimate changes in crime in census tracts as schools are added compared to census tracts that never had schools. Finally, we compare estimates from Poisson regression models to those derived from permutation tests where schools are randomly assigned different opening dates. Results We find no evidence that school openings increase crime relative to locations where schools were always open or never had schools. The models generally produce null effects, though there is some evidence for a reduction in property crimes for public school openings and a reduction in violent crimes for charter school openings within certain distances. Estimates at the census tract level show that changes in the number of schools are not associated with any changes in crime relative to tracts with no schools. Conclusions Contrary to a large theoretical and empirical literature, the results suggest that school locations play a minimal role in neighborhood crime production in Philadelphia. Future research should investigate specific contexts and mechanisms, such as land-use characteristics and travel patterns to schools, which may interact with specific school settings in ways that are related to crime production.",0748-4518,1573-7799,2018,34,3,717,740,http://dx.doi.org/10.1007/s10940-017-9352-y,,22/02/2024
207,,Quantifying the Exposure of Street Segments to Drinking Places Nearby,"Introduce and test the relative efficacy of two methods for modeling the impact of cumulative 'exposure' to drinking facilities on violent crime at street segments. One method, simple count, sums the number of drinking places within a distance threshold. The other method, inverse distance weighted count, weights each drinking place within a threshold based on its distance from the street segment. Closer places are weighted higher than more distant places. Distance is measured as the street length from a street segment to a drinking place along the street network. Seven distance thresholds of 400, 800, 1,200, 1,600, 2,000, 2,400 and 2,800 feet are tested. A negative binomial regression model controlling for socio-economic characteristics, opportunity factors and spatial autocorrelation is used to evaluate which of the measure/threshold combinations produce a better fit as compared to a model with no exposure measures. Exposure measured as an inverse distance weighted count produces the best fitting model and is significantly related to violent crime at longer distances than simple count (from 400 to 2,800 feet). Exposure to drinking places using a simple count is significantly related to violent crime up to 2,000 feet. Both models indicate the influence of drinking places is highest at shorter distance thresholds. Both researchers and practitioners can more precisely quantify the influence of drinking places in multivariate models of street segment level violent crime by incorporating proximity in the development of a cumulative exposure measure. The efficacy of using exposure measures to quantify the influence of other types of facilities on crime patterns across street segments should be explored.",0748-4518,1573-7799,2014,30,3,527,548,http://dx.doi.org/10.1007/s10940-013-9213-2,,22/02/2024
208,,Crime Seasonality: Examining the Temporal Fluctuations of Property Crime in Cities With Varying Climates,"This study investigates whether crime patterns fluctuate periodically throughout the year using data containing different property crime types in two Canadian cities with differing climates. Using police report data, a series of ordinary least squares (OLS; Vancouver, British Columbia) and negative binomial (Ottawa, Ontario) regressions were employed to examine the corresponding temporal patterns of property crime in Vancouver (2003-2013) and Ottawa (2006-2008). Moreover, both aggregate and disaggregate models were run to examine whether different weather and temporal variables had a distinctive impact on particular offences. Overall, results suggest that cities that experience greater variations in weather throughout the year have more distinct increases of property offences in the summer months and that different climate variables affect certain crime types, thus advocating for disaggregate analysis in the future.",0306-624X,1552-6933,2017,61,16,1866,1891,http://dx.doi.org/10.1177/0306624X16632259,,22/02/2024
209,,Crime and COVID-19: effect of changes in routine activities in Mexico City,"Background: This study aimed to determine whether crime patterns in Mexico City changed due to the COVID-19 pandemic, and to test whether any changes observed were associated with the disruption of routine activities, as measured by changes in public transport passenger numbers. Method: The first objective was assessed by comparing the observed incidence of crime after the COVID-19 pandemic was detected in the country with that expected based on ARIMA forecasts based on the pre-pandemic trends. The second objective was assessed by examining the association between crime incidence and the number of passengers on public transport using regressions with ARIMA errors. Results: Results indicated that most crime categories decreased significantly after the pandemic was detected in the country or after a national lockdown was instituted. Furthermore, the study found that some of the declines observed were associated with the reductions seen in public transport passenger numbers. However, the findings suggested that the changes in mobility explain part of the declines observed, with important variations per crime type. Conclusion: The findings contribute to the global evaluation of the effects of COVID-19 on crime and propose a robust method to explicitly test whether the changes observed are associated with changes in routine activities.",,2193-7680,2021,10,1,,,http://dx.doi.org/10.1186/s40163-021-00151-y,,22/02/2024
210,,When Crime Moves Where Does It Go? Analyzing the Spatial Correlates of Robbery Incidents Displaced by a Place-based Policing Intervention,"Objective: Examine the place-based correlates of robbery activity displaced by a foot-patrol intervention in Newark, NJ. We use constructs from Crime Pattern and Social Disorganization theories to test hypotheses concerned with associations between the structure of the environment and the displacement of crime. Method: Robbery incidents were spatially joined to street segments to study micro-level displacement processes. Predictor variables were operationalized using data from the Newark Police Department and Infogroup USA. Generalized Linear models tested associations between the characteristics of street segments and displaced robbery in the target area as compared to a control. Results: Environmental structure is important to understanding the settings of displacement, though this varied between spatial and temporal displacement. Relationships between displaced crime activity and model covariates did not always appear in expected directions. For example, bus stops predicted increased spatial displacement while corner stores predicted decreased levels of temporal displacement. Conclusions: While testing for displacement has become commonplace in place-based policing interventions, less attention has been paid to the micro-level factors that may facilitate the displacement of crime events. Both bus stops and corner stores show consistent associations with displaced crime activity, but the directions of these relationships suggest more complex processes requiring further examination.",0022-4278,1552-731X,2022,59,1,128,162,http://dx.doi.org/10.1177/00224278211016030,May-21,22/02/2024
211,,Spatial Distribution of Crime in Bangladesh: An Analysis,"Crime mapping has become popular as a way of analysing the spatial distribution of crime, and its use enables effective crime prevention strategies to be employed based on the analysis of hotspots. However, in Bangladesh crime mapping using Geographic Information System (GIS) is still in its infancy. This paper intends to focus on the spatial distribution of crime throughout the major administrative divisions of Bangladesh and to explore how it varies according to region. Its objective is to fill the existing knowledge gap in terms of the spatial distribution of crime in Bangladesh with the help of GIS software. All associated issues behind any crime patterns in different regions have been analysed here using references from established research. This study also illustrates the trend analysis of crime in the last three years, from 2016 to 2018, to understand the patterns of crime distribution as per present administrative divisions. It also focuses on the relative frequency of incidents of crime in all the regions of Bangladesh. Additionally, this study indicates that areas with big cities (Dhaka and Chattogram) are more prone to harbouring a greater number of offenders than other areas. As an initial study using GIS-based computerised crime mapping in Bangladesh, this research may have an important role in showing division wise crime distribution.",2148-6646,2602-3911,2021,9,2,479,503,http://dx.doi.org/10.26650/JPLC2021-931625,,22/02/2024
212,,"Excess Mortality, Sickness and Absence in the Police Workforce in England and Wales During the COVID-19 Pandemic","Policing was a critical part of the state response to the COVID-19 pandemic in England and Wales during a period in which the expectations and environment for law enforcement changed rapidly and frequently. While several studies have explored the impact of the pandemic on crime patterns and certain workforce aspects such as leadership and stress, the current study attempts to fill a gap in the literature by quantifiably estimating the impact of the COVID-19 on sickness, absence, and mortality in the police workforce. It finds that while absence rates were higher than normal, this was primarily associated with self-isolation policies. While the incidence of COVID-19 in police officers may have been higher than the incidence in the general public, the mortality rate actually reflected a reduction on the pre-pandemic year. This article discusses the implications for future contingency planning and research.",1752-4512,1752-4520,2023,17,,,,http://dx.doi.org/10.1093/police/paad017,,22/02/2024
213,,Hot spots policing in a high-crime environment: an experimental evaluation in Medellin,"Objectives Test direct, spillover, and aggregate effects of hot spots policing on crime in a high-crime environment. Methods We identified 967 hot spot street segments and randomly assigned 384 to a six-month increase in police patrols. To account for the complications resulting from a large experimental sample in a dense network of streets, we use randomization inference for hypothesis testing. We also use non-experimental streets to test for spillovers onto non-hot spots and examine aggregate effects citywide. Results Our results show an improvement in short-term security perceptions and a reduction in car thefts, but no direct effects on other crimes or satisfaction with policing services. We see larger effects in the least secure places, especially for short-term security perceptions, car thefts, and assaults. We find no evidence of crime displacement but rather a decrease in car thefts in nearby hot spots and a decrease in assaults in nearby non-hot spots. We estimate that car thefts decreased citywide by about 11%. Conclusions Our study highlights the importance of context when implementing hot spots policing. What seems to work in the USA or even in Bogota is not as responsive in Medellin (and vice versa). Further research-especially outside the USA-is needed to understand the role of local crime patterns and police capacity on the effectiveness of hot spots policing.",1573-3750,1572-8315,2021,17,3,473,506,http://dx.doi.org/10.1007/s11292-019-09390-1,Feb-20,22/02/2024
214,,Cannabis in the capital: exploring the spatial association between medical marijuana dispensaries and crime,"The legalization of medical marijuana remains a controversial policy. An important dimension of marijuana legalization is the siting of dispensaries and their influence on a surrounding community. Specifically, dispensaries, if they engender criminogenic opportunities via changes in routine activities, have the potential to increase crimes in the areas surrounding medicinal marijuana dispensaries (MMDs). Using a quasi-experimental design, we examine the relationship between MMDs and crime using micro-spatial units in a novel location. Street level geocoded crime data for violent and nonviolent crime patterns before and after the opening of MMD's in Washington, D.C. Crime is analyzed with 100 m buffers around each dispensary and control location drawn from propensity score matching. Differences between crime rates pre- and postoperation are compared. With the exception of one location, crime decreased or remained constant in geographical areas following the opening of a dispensary. MMDs do not appear to have an immediate criminogenic effect. Implications for future research regarding potential confounding factors and data limitations are discussed.",0735-648X,2158-9119,2020,43,1,1,15,http://dx.doi.org/10.1080/0735648X.2019.1582351,,22/02/2024
215,,Exploring 'near': Characterizing the spatial extent of drinking place influence on crime,"The important role of facilities in understanding crime patterns is widely recognized. Studies have demonstrated a connection between the presence of facilities such as bars, parks, schools and fast food restaurants and higher crime rates. Typically, these studies use a single distance threshold. Areas within the threshold are assumed to be related to the facility and those outside the threshold unrelated. But the choice of threshold in each study is usually an ad hoc decision based on the expertise of the researcher. Until recently, there has been no systematic evaluation of the methodology used to define those thresholds. This paper evaluates two methods for determining an empirically-based answer to the question 'How close is near?' The results of an example analysis testing the association of drinking places and crime in Seattle, Washington are reported. The two most common facility-based measures, Euclidean distance buffers and Street distance buffers are compared across two levels of aggregation and 18 separate distances. Findings indicate the geographic extent of increased crime around drinking places varies based on the type of buffer (Euclidean vs. Street distance) and the width of the distance bands (street block vs. 402 meter (quarter mile) increments). The geographic extent of the influence of drinking places on crime is best captured by street distance measures across street block distances (122 meter bands). Implications of these findings for theory and practice are discussed.",0004-8658,1837-9273,2011,44,2,156,179,http://dx.doi.org/10.1177/0004865811405253,,22/02/2024
216,,A Network Approach to Examine Neighborhood Interdependence Through the Target Selection of Repeat Buyers of Commercial Sex in the United States,"The geographic concentration and diffusion of crime and deviancy are longstanding criminological inquiries, yet few studies have examined how certain illicit behaviors transcend neighborhood borders and connect neighborhoods in patterns of crime and deviancy. A structural neighborhood interdependence may account for the enduring nature and spread of crime, making it critical to understand how neighborhoods are connected in crime patterns to guide crime prevention and disruption efforts. This study examines neighborhood interdependence through the case of repeat buyers of commercial sex in illicit massage businesses in a metropolitan city in the United States. By frequenting venues for illicit commercial sex in multiple neighborhoods, buyers create inter-neighborhood connections through which the demand for an illicit market can spread across neighborhoods. Using online review data about buyers of commercial sex, this study analyzes this neighborhood interdependence as a network comprised of nodes (neighborhoods) and edges (connections between neighborhoods). Exponential random graph models were used to analyze how characteristics of neighborhoods, the space between neighborhoods, and the overall network of neighborhoods explain inter-neighborhood connectivity in an illicit market for commercial sex. The implications for research, policy, and practice will be discussed.",0163-9625,1521-0456,2023,44,6,876,899,http://dx.doi.org/10.1080/01639625.2022.2110542,Aug-22,22/02/2024
217,,A new Geographic Profiling Suspect Mapping And Ranking Technique for crime investigations: GP-SMART,"This study developed and tested a new geographic profiling method for automating suspect prioritisation in crime investigations. The Geographic Profiling Suspect Mapping And Ranking Technique (GP-SMART) maps suspects' activity locations available in police records-such as home addresses, family members' home addresses, prior offence locations, locations of non-crime incidents, and other contacts with police-and ranks suspects based on both the proximity and nature of these locations, relative to an input crime. In accuracy tests using solved burglary, robbery and extra-familial sex offence cases in New Zealand (n = 4511), GP-SMART ranked the offender at or near the top of the suspect list at rates greatly exceeding chance. Highlighting the benefit of its novel inclusion and differentiation of many different types of activity location, GP-SMART also outperformed baseline methods-approximating existing algorithms-that ranked suspects using only the proximity of their activity locations, or home addresses, to the input crime.",1544-4759,1544-4767,2022,19,3,103,117,http://dx.doi.org/10.1002/jip.1585,Feb-22,22/02/2024
218,,Community-level impacts of temperature on urban street robbery,"Purpose: Conduct the first empirical intra-urban examination of community-level connections between street robbery and temperature. Examine whether community socioeconomic status (SES) and crime-relevant land uses strengthen or weaken the temperature impact. A theoretical framework relying on routine activity theory, crime pattern theory, and resident-based control dynamics organized predictions. Data and methods: For Philadelphia census tracts (n = 381), monthly street robbery counts and temperature data for 36 consecutive months were combined with census and land use data, and analyzed with multilevel models. Results: Community robbery counts were higher when temperatures were higher, and in lower SES communities. In support of previous work with property crime, but in contrast to previous work with assault, the effects of temperature were stronger in higher SES communities. In support of the integrated model, commercial land use prevalence and subway stations were associated with heightened temperature impacts on robbery. Conclusions: Community-level fixed and random effects of temperature on urban robbery counts persist when controlling for land use and community structure; further, the random effects depend in part on both. There are implications for understanding indigenous guardianship or informal resident-based place management dynamics, and for planning seasonal police deployments. (C) 2011 Elsevier Ltd. All rights reserved.",0047-2352,1873-6203,2011,39,6,463,470,http://dx.doi.org/10.1016/j.jcrimjus.2011.08.004,,22/02/2024
219,,New York City: COVID-19 quarantine and crime,"Purpose In early 2020, the world faced a rapid life-changing pandemic in the form of the Coronavirus Disease of 2019 (COVID-19) crisis. Citywide lockdowns with stay-at-home orders and mass closings quickly became the new normal. With these new mandates, routine activity, mental health and financial securities all began to experience major deviations, and it became clear that this could prove to be rather valuable in providing the opportunity for large-scale criminology experiments. This study aims to explore New York City's (NYC) crime patterns during this unique social situation. Specifically, has crime as a whole increased or decreased, and have particular crimes increased or decreased during these stressful fluid times? Design/methodology/approach The authors briefly review previous crises and worldwide trends but focus on NYC crime as collected by the New York Police Department's statistics unit, CompStat. An analysis of 13 crime types from March 30 to July 5 was completed, including percent differences and individual weekly incidence rates in citywide crimes compared to the same time in 2019. Findings The analysis demonstrated that all crimes analyzed, except for murder and burglary, exhibited a statistically significant difference during COVID-19 conditions compared to the same time the previous year. Grand larceny auto and gun violence crimes significantly increased during COVID-19 weeks, whereas rape, other sex crimes, robbery, felony assault, grand larceny, transit, housing, misdemeanor assault and petit larceny all significantly decreased. Originality/value Due to the ongoing nature of the pandemic, this is amongst the first studies to examine trends in NYC crime during pandemic mandates. Expanding our knowledge in these situations can inform natural disaster responses, as well as criminal justice policy and practice to better protect the public in future crises.",2009-3829,,2021,11,3,203,221,http://dx.doi.org/10.1108/JCP-10-2020-0046,May-21,22/02/2024
220,,Gender Variation in the Age-Crime Relation in Cross-National Context: Taiwan-US Comparison,"Purpose Hirschi and Gottfredson's premise of a ubiquitous adolescent-driven age-crime relation is widely endorsed, yet empirical tests have relied almost solely on non-disaggregated western data reflecting male patterns. Joint effects of gender and age have been strongly assumed but not broadly tested. To examine the invariance thesis, we probed for conditioning effects of gender and social context by comparing gender-age-crime patterns in an East Asian society, Taiwan, with those in the USA. Methods Unique disaggregated arrest data for Taiwan and the USA were leveraged to determine whether there were within- as well as between-country differences in the age-gender-crime relation and whether the age-gender distributions were invariant across social groups and cultures. Results Major findings were as follows: (1) striking within-country similarity in age distributions of male and female offenders; and (2) considerable between-country dissimilarity in age-crime schedules of males and females: Taiwan male and female age-crime curves were less peaked and older than the US male and female age-crime curves, diverging from the widely-held premise of a ubiquitous adolescent-spiked age-crime curve. Conclusion Strong cross-national variation in the age-crime relation, paired with remarkable gender similarity within nations, support life course approaches attentive to social context and suggest considerable mutability of any biological processes shaping the age-crime, the gender-crime, and the gender-age-crime relation.",2199-4641,2199-465X,2021,7,4,623,648,http://dx.doi.org/10.1007/s40865-021-00176-6,Sep-21,22/02/2024
221,,Patterns of juvenile offending in Shanghai and Brisbane,"This paper reports an analysis of participation rates and types of delinquent behaviour using self-reported offending data from school students and apprehended juvenile offenders in Brisbane (n = 903) and in Shanghai (n = 565).The rate of participation in most categories of offending in the Brisbane sample was higher than in the Shanghai sample, with Brisbane school students being much more likely than Shanghai students to report at least one type of offence (85.8% vs. 28.8%). However, factor analyses revealed a common crime pattern across both samples, with behaviours grouping into theft, property-related offences, fighting, and disturbing public order. Brisbane school respondents were more likely than their Shanghai counterparts to commit multiple types of offences. Co-offending peaked at ages 15-16 in Brisbane and 17-18 in Shanghai, but was more common in the Shanghai sample than in the Brisbane sample. It is argued that compared with Australian young people there is a greater presence of social institutions in the lives of Chinese adolescents in the form of family, community and state controls, and that these mostly informal control systems appear to have been successful so far in containing the criminogenic impacts of rapid social change.",0004-8658,1837-9273,2004,37,,32,51,http://dx.doi.org/10.1177/00048658040370S103,,22/02/2024
222,,When Do Offenders Commit Crime? An Analysis of Temporal Consistency in Individual Offending Patterns,"Objectives Building on Hagerstrand's time geography, we expect temporal consistency in individual offending behavior. We hypothesize that repeat offenders commit offenses at similar times of day and week. In addition, we expect stronger temporal consistency for crimes of the same type and for crimes committed within a shorter time span. Method We use police-recorded crime data on 28,274 repeat offenders who committed 152,180 offenses between 1996 and 2009 in the greater The Hague area in the Netherlands. We use a Monte Carlo permutation procedure to compare the overall level of temporal consistency observed in the data to the temporal consistency that is to be expected given the overall temporal distribution of crime. Results Repeat offenders show strong temporal consistency: they commit their crimes at more similar hours of day and week than expected. Moreover, the observed temporal consistency patterns are indeed stronger for offenses of the same type of crime and when less time has elapsed between the offenses, especially for offenses committed within a month after the prior offense. Discussion The results are consistent with offenders having recurring rhythms that shape their temporal crime pattern. These findings might prove valuable for improving predictive policing methods and crime linkage analysis as well as interventions to reduce recidivism.",0748-4518,1573-7799,2021,37,4,863,889,http://dx.doi.org/10.1007/s10940-020-09470-w,Aug-20,22/02/2024
223,,"Investigating honour-based abuse and other crimes in South Asian communities: the benefits, limitations and impacts of 'ethnic matching' and ethnic 'difference' of police officers","This article considers the benefits, limitations and potential impacts of 'ethic matching' South Asian (SA) police officers to victims, or conversely allocating 'different' non-SA officers to reported honour-based abuse (HBA) cases and other crimes. To explore these themes, semi-structured interviews in one English police force with 15 police specialist detectives in Public Protection took place. Lack of cultural competence by some non-SA officers was evident, exposing stereotyping and tokenism. Some professional race anxiety features, but to a lesser extent. Cultural ignorance impacts an officer's ability to identify crime patterns; results in misconstruing victim perspectives and means that officers may not recognise cues that victims are at risk. The opposing perspective identifies that there are enormous benefits to 'ethnic matching' SA officers and victims when investigating crimes, notably enhanced insight due to cultural competence, excellent victim rapport and the use of foreign language skills. Conversely, findings indicate that in exceptional circumstances cultural bias by some same ethnicity officers can act as an impediment, influencing officer decision-making and detrimentally affecting victims' best interests. Extant literature reinforces the contention that victims do not want to be 'ethnic matched' to the police or other professionals, for fear that officials may leak information to the wider community. Albeit there are notable benefits to ethnic matching, factors such as training and experience are equally important. Nevertheless, the article affords valuable insights into the strengths and limitations of ethnic matching and ethnic difference, which will aid operational supervisory police officers when resourcing such incidents.",1043-9463,1477-2728,2022,32,9,1049,1070,http://dx.doi.org/10.1080/10439463.2021.2010733,Dec-21,22/02/2024
224,,State of the Art in Agent-Based Modeling of Urban Crime: An Overview,"ObjectivesAgent-based modeling (ABM) is a type of computer simulation that creates a virtual society and allows controlled experimentation. ABM has the potential to be a powerful tool for exploring criminological theory and testing the plausibility of crime prevention interventions when data are unavailable, when they would be unethical to collect, or when policy-makers need an answer quickly. This paper takes stock of the current literature to discuss the potential contributions of ABM, assess current practice, identify shortcomings that threaten the validity of findings using ABM, and to make suggestions regarding the construction and communication of future work using ABM.MethodsWe systematically searched major databases to find all publications using ABM to simulate urban crime patterns and coded publications to quantify the following information: (1) characteristics of the publication, the model and the agents, (2) model purpose, (3) crime type investigated, and (4) interrogation of the model via sensitivity testing and validation.ResultsAfter sifting papers according to our inclusion criteria, we identified and reviewed 45 publications. Models informed by the opportunity theory framework dominated. Most publications lacked detail sufficient to enable replication. Many did not include clear a rationale for modeling choices, parameter selection or calibration. Rarely were parameters calibrated using empirical data. Model validation was limited and inconsistent across papers.ConclusionsABM offers significant potential for criminological enquiry. However, at present, the lack of model detail reported in publications makes it difficult to assess where sufficient evidence exists to supportand where gaps limitthe development of models that reflect extant conditions and offender decision-making. For the field to progress, as a minimum, standardized reporting that encourages transparency will be necessary.",0748-4518,1573-7799,2019,35,1,155,193,http://dx.doi.org/10.1007/s10940-018-9376-y,,22/02/2024
225,,"Predictive policing: not yet, but soon preemptive?","For several years now, crime prediction software operating on the basis of data analysis and algorithmic pattern detection has been employed by police departments throughout the world. As these technologies aim at forestalling criminal events, they may aptly be understood as elements of preventive strategies. Do they also initiate a logic of preemptive policing, as several authors have suggested? Using the example of crime prediction software that is used in German-speaking countries, the article shows how current forms of predictive policing echo classical modes of risk calculation: usually employed in connection with domestic burglary, they help police to identify potential high-risk areas by extrapolating past crime patterns into the future. However, preemptive elements also emerge, to the extent that the software fosters 'possibilistic' thinking in police operations. Moreover, current advances in crime prediction technologies give us a quite different picture of a probable future of preemptive policing. Following a general trend of data-driven government that draws on self-learning algorithms and heterogeneous data sources, crime prediction software will likely be integrated into assemblages of predictive technologies where criminal events are indeed foreclosed before they can unfold and emerge, implying preemptive police action.",1043-9463,1477-2728,2020,30,8,905,919,http://dx.doi.org/10.1080/10439463.2019.1611821,May-19,22/02/2024
226,,Journey to crime of itinerant crime groups,"Purpose - Most researchers have found that property crimes have a local focus: offenders tend to operate in the vicinity of their residence. This has led the police to organise themselves to concentrate their resources in highly populated, urban areas, Over the last decade mobile property offenders have been found in various Western European countries that differ from this norm. These groups of mainly Eastern European multiple offenders engaging in property crime tend to travel further than other offenders. As such, their operations differ from most criminals, challenging the way the police are organised and undermining criminological theories on journey to crime. The aim of this paper is to look at the specificity of mobility patterns of these groups, to examine the precise interpretation of their mobility and to consider the implications. Design/methodology/approach - The paper uses the Belgian police database containing all serious property crimes in Belgium for the period 2002-2006. Some basic offender characteristics have been identified and for these offenders journey-to-crime patterns have been established. Findings - Eastern European multiple offending groups tend to commit their crimes in rural areas. Although they start their journey in regions considered crime importing, they carry out their crimes in crime exporting areas. As such, they are atypical, challenging traditional theories on journey-to-crime and the way in which police forces are organised. Research limitations/implications - Observing a special group is one thing, but explaining these differences is another. Further research is needed, in particular with regard to the motivational aspects for these offenders. Originality/value - Whereas most researchers have found crime (including property crime) to be mainly local, the present research focuses on more mobile offenders. The challenges that these groups create for law enforcement authorities make it important for them and their patterns of activity to be understood.",1363-951X,1758-695X,2010,33,2,339,353,http://dx.doi.org/10.1108/13639511011044920,,22/02/2024
227,,A street segment analysis of crime in a township: evidence from South Africa,"Street segments as a micro-level unit of analysis have become increasingly popular in spatial crime research with a plethora of studies having shown how crime spatially concentrates at this spatial scale. The vast majority of this research has, however, emanated from the United States and other 'Westernized' cities, with little attention on less developed contexts. Developing countries have different structural and design conditions from developed countries and this could be reflected in micro-spatial crime patterns. In this study, we undertook the first street segment analysis of crime in southern Africa with a particular focus on the township of Khayelitsha, located approximately 30 kilometers from Cape Town. Townships are uniquely South African urban settlements, borne out of repressive apartheid-era spatial planning policies. Results showed that violent, property, and sexual crimes concentrate spatially in Khayelitsha at the street segment level with substantial street-to-street variability. From a practical perspective, so-called 'hot streets' should be the primary focus of intervention by law enforcement agencies tasked with reducing crime in countries with far less resources than their Global North counterparts. We recommend replication of this analysis in other African contexts in order to build up a body of evidence to either support or challenge the notion of 'crime concentration at micro-places' commonly advocated by international scholars.",1561-4263,1477-271X,2023,24,5,539,557,http://dx.doi.org/10.1080/15614263.2022.2147070,Dec-22,22/02/2024
