Title,Study_Period,Data_Collection_Period,Data_Sources,Data_Availability,Population_per_Unit,Quoted_Rationale,Rationale_Category,Justification_Summary,Country,City_Region,Study_Area_Size,Crime_Type,Crime_Types_All,Sample_Size,Number_of_Crimes_Analyzed,Number_of_Offenders,Sampling_Approach,Choice_Set_Definition,Alternative_Selection,Sample_Restrictions,Sample_Limitations,Study_Design,Discrete_Choice_Model,Estimation_Method,Model_Comparison,Sample_Size_Effects,Robustness_Checks,Significant_Predictors,Effect_Directions,Scale_Effects,Scale_Sensitivity,Scale_Recommendations,Scale_Limitations,Cross_Scale_Comparisons,Data_Quality_Issues,Missing_Data_Issues,Data_Source_Limitations,Measurement_Issues,Temporal_Limitations,Data_Limitations,Generalizability,Context_Specificity,Comparative_Limitations,Spatial_Scale_Recommendations,Data_Collection_Suggestions,Methodological_Improvements,Demographic_Variables,Demographic_Count,Economic_Variables,Economic_Count,Environmental_Variables,Environmental_Count,Distance_Variables,Distance_Count,Temporal_Variables,Temporal_Count,Total_Variables
Modelling taste heterogeneity regarding offence location choices,April 2008 to March 2012,April 2008 to March 2012,Revealed preference data for SAC; 2011 UK Census; UK Land Registry,Limited to detected crimes within the study period; ignores undetected crimes or those before April 2008,NA,"""The alternatives in this analysis are output areas, herein referred to as neighbourhoods, which are the smallest units for which the variables in this study are available.""",Data availability / Theory–method,Chosen based on data availability and preference for finer spatial granularity,United Kingdom,York,270km²,Serious Acquisitive Crime (SAC),NA,"1,105 offence location choices.","1,105 SAC incidents.",498 unique offenders.,"Revealed preference data collection for SAC in York, UK.",Restricted to output areas (neighbourhoods) within York.,Output areas as smallest units for analysis.,Limited to city of York; one offender randomly selected from multiple-offender crimes.,NA,Cross-sectional,"Latent class logit (LCL), Mixed logit (ML), Conditional logit (CL)","Expectation-maximization (EM) for LCL, Maximum likelihood for CL, Hierarchical Bayes for ML",LCL and ML fit the data better than CL by a factor of around 4.5.,Not mentioned.,NA,"Distance from home, distance to city centre, socioeconomic heterogeneity, and previous offence locations.",Distance and distance to city centre generally have negative effects; socioeconomic heterogeneity and previous offence locations have positive effects.,Larger areas may mask local variations; smaller units are preferred for accuracy.,"Results varied with different spatial scales, particularly for affluence and social disorganisation variables.",Smaller spatial units are recommended for more accurate results.,Larger areas may obscure local variations.,Differences in results between studies using different scales are noted.,"The data analyzed are reported, recorded, and detected crimes, which may not represent all crimes.",The analysis assumes offenders with one offence in the time period are not repeat offenders.,"The study relies on revealed preference data, which may not fully capture the decision-making process.","The study groups different types of offenders together, which may mask differences in behavior.",The study is limited to data from April 2008 to March 2012.,NA,Grouping different offense types together may limit generalizability to specific types of offenders.,"Findings may be specific to the study context (York, UK).",The study's context specificity and dataset may limit comparisons across different contexts or time periods.,Use smaller spatial units for more accurate insights into social organization.,Use stated preference analyses to support findings.,Consider alternative decision rules like regret minimization.,Ethnic heterogeneity; Residential Churn; Gender; Age group,4,Affluence; Number of potential targets,2,Number of potential targets,1,Distance from the offender's home; Distance from the city centre; Road network data,3,NA,0,10
Modelling the spatial decision making of terrorists: the discrete choice approach,1969-1989,1969-1989,Existing dataset from social network analysis of PIRA's active core members; The Irish Times newspaper archives; NISRA; Conflict and Politics in Northern Ireland web service (CAIN),Limited by inability to attribute some attacks to specific individuals; smaller sample size compared to other studies,Not specified,"""As no sociodemographic variables were included in the analysis, it was deemed that SAs would be appropriate to use""",Data availability / Admin convenience,"SAs were chosen due to their suitability for statistical analysis and the lack of sociodemographic data, aligning with data availability and administrative convenience.",Northern Ireland,Belfast,NA,Terrorist attacks by the Provisional Irish Republican Army (PIRA),NA,150 attacks.,150 attacks.,127 PIRA members.,Retrospective sampling using existing datasets and newspaper archives.,"Constructed using 4537 ""small areas"" (SAs) in Belfast.",Based on geographical boundary data from NISRA.,"Restricted to PIRA members in Belfast, 1970-1989; excluded cases without accurate home locations or outside the study area.",NA,Cross-sectional,Conditional logit,Maximum likelihood estimation,NA,Sample size was sufficient but larger sample size would have been preferable,NA,"Distance from home, presence of major roads, presence of military bases or police stations.","Increased distance from home decreases choice probability; presence of major roads, military bases, or police stations increases choice probability.",Areal unit boundaries are arbitrary and lack ecological meaning; larger units mitigate IIA assumption.,Smaller units enable examination of social disorganisation; larger units relax IIA effects.,Replicate study in other cities and contexts; consider smaller units like street blocks.,Arbitrary areal unit boundaries; potential for smaller units to provide more nuanced insights.,Recommended replication in other cities and contexts to assess transferability.,Difficulties due to historical nature of records.,Unavailability of data on affluence levels and residential segregation.,Historical nature of records; unavailability of certain data.,Arbitrary areal unit boundaries; potential inaccuracy in characteristic data.,Retrospective nature limited data availability at small area level.,NA,Limited to Belfast and PIRA members; replication needed in other cities and with different groups.,Findings specific to Belfast and PIRA context.,Restricted to one city and one terrorist group; difficult to compare across contexts or time periods.,Use smaller areal units to capture more detailed social context factors.,Gather more comprehensive data on terrorist activities and use mixed logit or latent class models for analysis.,Use spatiotemporal models and consider repeat victimization patterns.,Number of PIRA members; Residential segregation; Recognition as strangers,3,NA,0,Major Road; Police Station; Military Base; River,4,Home-to-crime distance; Distance to city center; Euclidean distance; Ghosh distance; Major thoroughfares; River as barrier,6,NA,0,13
Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,2009-2018,2009-2018,New Zealand Police National Intelligence Application (NIA),Not publicly available; obtained with approval from the New Zealand Police Research Panel,"2000-4000 residents in urban areas, 1000-3000 residents in rural areas","""SA2s are comparable to the units used in other neighbourhood level DSCM studies (e.g., Clare et al. 2009;Townsley et al. 2015).""",Prior research / Practical constraint,"SA2s were chosen for their comparability to units used in other studies and to balance theoretical relevance, spatial spill-over, spatial heterogeneity, and computational processing.",New Zealand,Not specified (national scope),Median land area of SA2s = 1.2 km²,Residential burglaries,NA,"38,120","38,120","Approximately 60,000",Stratified importance sampling,"Included chosen SA2, SA2s with activity nodes within 5 km, and 10 randomly selected SA2s from those more than 5 km away",Stratified importance sampling,Nodes dated within 5 years of the reference offence; excluded certain types of offenses and records,NA,Cross-sectional,Conditional logit,Maximum likelihood,NA,NA,NA,"Proximity to activity nodes, frequency of visits, type of activity node (e.g., home vs. family homes).",Positive for proximity to activity nodes; offenders more likely to commit crimes closer to these locations.,"The study used Statistical Area 2 (SA2) as the spatial unit, which approximates neighborhoods and is considered suitable for capturing variation without excessive computational demands. The size of SA2s is relatively homogeneous, suggesting a consistent scale across the study area.","The study found that home and immediate family homes were strongly associated with crime locations even at a 2-5 km distance range, which could be due to New Zealand's low urban population density.",The study suggests that using longer distance ranges could be beneficial in low population density jurisdictions.,"The study notes that the lack of association between work nodes and residential burglary might reflect a lack of residential burglary opportunities around work nodes, which could be a limitation related to the chosen spatial scale.",Not mentioned.,"The data is a sample of each offender's true population of activity locations, indicating potential issues with data completeness and reliability.","Not all family members' addresses are recorded, and employment and education records are rare.","Crime and victimization locations depend on police reporting, which may not be comprehensive.",Lack of association between certain nodes and crimes suggests measurement issues or limitations in how these variables were defined or measured.,Not mentioned.,NA,The results are likely to generalize to low population density jurisdictions but may not apply to other contexts.,The findings are specific to New Zealand's low population density context.,"The study does not compare across different contexts or time periods, limiting its ability to generalize findings.",Use of SA2s as spatial units.,Supplement police data with other administrative datasets.,Use mixed logit models to examine individual differences.,Population Density; Household Size/Composition; Demographic Characteristics of Offenders,3,Number of dwellings; Total number of business units; Number of business units in industry categories; Number of business units in commercial or public industries,4,Number of dwellings; Total number of business units; Number of business units in industry categories; Number of business units in commercial or public industries; Schools; Prior crimes,6,Distance Bands; Median Nearest Neighbor Distance,2,Temporal Filter; Recency of Prior Crimes; Spatial Unit; Opportunity,4,19
Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?,January 2000 through September 2012,January 2000 through September 2012,Tampa Police Department; U.S. Census data,Limited to cleared burglaries; no information on 80% of burglaries not cleared,Not specified,"""We rely on block groups in order to minimize within neighborhood heterogeneity while also ensuring that there is neighborhood contextual data available.""",Practical constraint / Data availability,Block groups were chosen to reduce internal variability and ensure data availability.,United States,"Tampa, Florida",NA,Burglary,NA,"5,182 incidents.","7,124 burglary arrests.","6,846 unique suspects.","Comprehensive collection of all arrests for burglaries in Tampa, Florida, from January 2000 to September 2012.",Selecting a neighborhood out of 334 possible neighborhoods in Tampa.,Discrete choice model where each suspect selects a neighborhood from available options.,"Exclusion of cases with unknown or incorrect addresses, P.O. boxes, correctional facilities, and incidents where the suspect resides outside Tampa city limits; elimination of two outliers more than 20 miles from the suspect's home.",NA,Cross-sectional,Conditional logit,Maximum likelihood,"Implicit in the description of three models, but no explicit comparison of performance metrics","Large sample size (5,182 incidents, 6,846 suspects), likely sufficient for model estimation",NA,"Percentage of Black residents, concentrated disadvantage, residential stability, ethnic heterogeneity, distance from home.","Neighborhoods with more Black residents, higher disadvantage, lower residential stability are more likely to be targeted.",The use of block groups as the spatial unit of analysis was chosen to minimize within-neighborhood heterogeneity and ensure availability of contextual data.,The choice of block groups was deliberate to align with the research focus on geographic context rather than specific hotspots or nodes.,"Not explicitly provided, but the use of block groups was justified based on research objectives.",The choice of block groups might limit detailed analysis of smaller-scale phenomena.,"References to other studies using different scales, but no direct comparisons.",Lack of information on 80% of burglaries not cleared; potential bias in arrest data.,Age and criminal history of suspects; distinction between residential and commercial burglaries.,Arrest data only includes cleared burglaries.,No temporal variation or land use variations captured.,No temporal variation in neighborhood target attractiveness captured.,NA,"The study is limited to the City of Tampa, Florida, which may not be representative of other cities or contexts.","The study's focus on Tampa, Florida, makes findings context-specific and not easily applicable to other areas.","The study does not account for variations in land use or temporal variations, affecting comparability.",Use block groups as a spatial unit for analysis.,Include information on unreported burglaries and detailed offender characteristics.,Incorporate additional variables and use advanced statistical models.,Residential Stability; Single-Parent Households; Racial/Ethnic Heterogeneity; Percentage of Black Residents; Percentage of Latino Residents; Social Disorganization; Social Cohesion,7,Concentrated Disadvantage Index; Median Income; Median Home Value; Percentage of Residents Below Poverty; Percentage of Unemployed; Percentage of Occupied Units,6,Routine Activities; Familiarity; Social Cohesion; Residential Instability; Racial/Ethnic Heterogeneity; Anonymity; Reduced Likelihood of Apprehension,7,Home-to-crime distance; Euclidean distance; Distance squared,3,Time Period; Normalization of Data; Euclidean Distance; Distance Squared; Centering of Distance Measures; Series of Models; Variance Inflation Factors,7,30
Residential burglary target selection: An analysis at the property-level using Google Street View,2009,Around 2009,The Hague Police Force; Google Maps; Google Street View; Community survey by Bruinsma et al.,Limited by inability to capture isolated properties,Not specified,"Not explicitly quoted, but implied in the methodology",Theory–method,"The study focuses on property-level attributes, using a case-control design to isolate property-level effects from neighborhood-level effects.",Netherlands,The Hague,NA,Residential burglary,NA,"300 single houses (150 burglarized, 150 non-burglarized)",221 break and enter events during daylight hours,NA,Case-control design,Paired burglarized and non-burglarized properties within the same neighborhood,Random sampling from BAG single houses dataset,"Single-family homes, daylight hours only",NA,Cross-sectional (case-control design),Conditional logistic regression,Conditional maximum likelihood,NA,"Sample size is noted as ""rather low""",NA,"Surveillability, accessibility, ease of escape.",Increased surveillability decreases burglary likelihood; increased accessibility and ease of escape increase burglary likelihood.,Not explicitly mentioned.,"Robustness checks were conducted using alternative neighbourhood boundaries, but detailed findings are not provided.",Not mentioned.,The inability to capture isolated properties due to Google Car limitations biases the sample.,Not mentioned.,"The study acknowledges limitations in capturing isolated properties due to Google Street View's inability to access these areas, leading to a biased sample.",Isolated properties cannot be coded due to Google Car limitations.,Google Street View cannot capture isolated properties.,Measurements may not capture all nuances from one-on-one interviews; equal importance assumption for items within constructs may not hold.,"Behavior may vary depending on the time of day, not explored in this study.",NA,Limited generalizability due to non-representative sample and context-specific data collection methods.,"Findings may be specific to The Hague, Netherlands, and single-family homes.",No direct comparisons across different contexts or time periods.,Focus on micro-spatial scales.,Use GSV and address the limitation of capturing isolated properties.,Refine data collection techniques to reduce bias.,Collective Efficacy; Social Trust; Informal Social Control,3,Wealth,1,Surveillability; Accessibility; Ease of Escape,3,Distance to nearest main road; Distance to nearest street corner; Number of escape routes; Property at end of row; Number of boundaries shared with public areas; Property setback from street,6,Case-control design; Presence of business; Mixed land-use; House type; Fixed effects analysis; Alternative neighbourhood boundaries,6,19
"Right place, right time? Making crime pattern theory time-specific",2017,May to August 2019,Dutch police regions The Hague and North-Holland; online survey,Not shared due to privacy reasons,NA,"Not explicitly quoted, but implied by spatial accuracy and data availability",Data availability / Theory–method,"Neighbourhoods were chosen due to spatial accuracy and data availability, aligning with the study's theoretical framework",Netherlands,The Hague and North-Holland,"Median area of neighbourhoods: 3.37 km², 14.5 km², 55.6 km²",Multiple types,NA,71 crimes.,71 unique crimes.,30 unique offenders.,Online survey using police data on suspects from specific regions in the Netherlands.,"13,305 neighbourhoods in the Netherlands.",Based on regular visitation at same or different time of day as crime event.,"Offenders with at least one recorded offence in 2017, aged 18 or older, valid home address in the Netherlands, and only minor offences.",NA,Cross-sectional,Conditional logit,Bootstrapped standard errors,NA,Small sample size affected statistical significance,NA,Neighborhoods routinely visited at the same time of day as the crime event.,Increased likelihood of committing crimes in neighborhoods visited at the same time of day.,The percentage of offences committed within activity spaces increases with larger spatial scales (first-order to third-order lags).,"Results vary with different spatial scales, with larger scales capturing more offences.",Not explicitly provided.,Findings might be influenced by police effectiveness in solving crimes within activity spaces.,"Findings are comparable with another study (Menting et al., 2020).",Uncertainty in recall accuracy from respondents' memory.,Small sample size of 71 offences.,"Data sourced from police register data, potentially not representative of broader offender population.",Retrospective survey with potential memory recall issues.,Tentative conclusions due to small sample size and potential selection bias.,NA,Findings may not generalize to broader offender population or other regions.,Findings specific to minor offences and offenders in western Netherlands.,Limited to specific context; no comparison across different contexts or time periods.,Use detailed spatial scales such as neighborhoods to analyze crime patterns.,Utilize online survey instruments and consider smartphone applications or GPS-tracking data for future studies.,Enhance data collection by using more detailed temporal granularity and spatial accuracy.,NA,0,NA,0,Home occupancy in residential neighbourhoods; Number of cars parked on a parking lot; Presence of locks and escape routes; Residences; Schools; Jobs; Sports activities; Shopping; Going out; Neighbourhoods of offenders' activity nodes,10,Spatial Lags; Neighbourhood Proximity; Geocoded Neighbourhoods,3,Neighbourhood routinely visited at same time of day as crime event; Neighbourhood routinely visited at different time of day as crime event; Time of day; Crime committed in neighbourhood; Pseudo-R 2,5,18
ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *,04/01/2004 to 03/31/2014,2004,Thames Valley Police; Ordnance Survey (OS); U.K. Land Registry; 2011 U.K. census,Limited by police recording and clearance; may not apply to all offenders,Not specified,"""For example, people do not navigate from one large area to another; they navigate along the road network. As such, a spatial resolution at this scale (e.g., street segment) should better capture the spatial logic of offender decision-making.""",Theory–method,"The choice of street segments is based on the theoretical understanding that offenders navigate along road networks, and this scale captures their decision-making logic better.",United Kingdom,"High Wycombe, Beaconsfield, Marlow",approximately 150 km²,Residential burglary,NA,459 choice observations (residential burglaries).,459 residential burglaries.,207 unique offenders.,"Data from residential burglaries in specific UK towns, focusing on street segments.","Roads and paths accessible to residential properties, excluding certain types.",Street segments within the study area meeting specific criteria.,Excluded offenses outside the study area or committed by individuals living outside.,NA,Cross-sectional,Mixed logit,Hierarchical Bayes (HB),ML models fit better than CL models based on RLH.,Not explicitly discussed.,NA,"Idiosyncratic betweenness, idiosyncratic farness, nonlocal pedestrian traffic, local pedestrian traffic, vehicular traffic.",Increased travel time decreases choice probability; increased familiarity increases choice probability; nonlocal pedestrian traffic increases burglary risk; local pedestrian traffic decreases burglary risk; vehicular traffic decreases choice probability.,"The study uses a finer spatial scale (street segment level) compared to previous studies, which allows for more precise measurement of guardianship and awareness spaces.",Not mentioned.,Street segments are recommended as a natural unit for studying crime due to their ability to capture detailed spatial dynamics.,Not explicitly mentioned.,The study notes that its use of street segments is different from the typical use of larger areal units in criminological literature.,Not all crimes are recorded or cleared by the police.,Estimates of social disorganization through systematic social observation were not collected.,Police data may only represent offenders who came to the attention of the police.,Simplified binary scale for local and nonlocal areas.,Data from a 10-year period may have temporal resolution issues.,NA,Replication is needed to establish external validity.,The study's focus on a specific geographic area and time period may make the findings context-specific.,The study does not provide direct comparisons across different contexts or time periods.,Use finer spatial scales like street segments for more accurate analysis.,Use more diverse data sources to validate findings.,Use mixed logit models to capture individual variation.,Ethnic-heterogeneity; Socioeconomic heterogeneity; Population turnover; Residential mobility,4,Affluence,1,Ambient Guardianship; Movement Potential; Through Movement; Activity Nodes,4,Estimated Travel Time; Euclidean Distance; Network Distance; Road Network Configuration; Idiosyncratic Farness; Closeness Centrality; Pedestrian Travel Time; Vehicular Travel Time,8,Time period; Residential mobility; Socioeconomic heterogeneity; Affluence; Ethnic heterogeneity; Number of dwellings,6,23
Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,2013-2016,Not explicitly mentioned (inferred to be during or shortly after 2013-2016),Environmental Protection Agency; Baltimore City Police Department; Baltimore City Open Data Portal; U.S. Census Bureau; American Community Survey,Limitations include exclusion of crimes not reported to the police and potential incomplete geocoding of arrests,Average of 953 residents,"""Importantly, in a city context (as opposed to suburban or rural locales), a census block is generally a small area (typically a street-bounded block) and using this unit is consistent with prior work on the relationship between co-offending and neighbourhood context, which has relied on census tracts or blocks.""",Prior research,The choice of census block groups is based on their appropriateness for studying neighborhood-level phenomena and consistency with prior research.,United States,"Baltimore City, Maryland",.14 square miles (average size of a census block group),Group crime,NA,"68,393","6,249 incidents","14,222 arrested individuals involved in group crimes",Publicly available arrest data from Baltimore City (2013-16),Census block groups,All available arrest data within the specified time frame,Publicly available data; excludes crimes not leading to an arrest,NA,Cross-sectional,Not applicable (uses spatially lagged negative binomial regression),Maximum likelihood (implied),NA,NA,NA,"Number of bars, pedestrian-oriented street density, poverty, racial/ethnic heterogeneity.",Number of bars and pedestrian-oriented street density increase group crime rates; poverty increases group crime rates; racial/ethnic heterogeneity decreases group crime rates.,"The study uses census block groups as the spatial unit of analysis, which is a relatively small geographic area.","The study accounts for spatial autocorrelation, but does not explicitly discuss how results varied with different spatial scales.",The authors suggest that smaller microunits might be more appropriate for studying convergence spaces.,"The study relies on data from a single city, limiting generalizability.",Not mentioned.,Undercounting of crime due to reliance on arrest data; potential for incorrect coding of solo crimes.,Incomplete geocoding due to missing or problematic location information.,Publicly available arrest data may not capture all criminal events.,Potential for incorrect coding of incidents as solo crimes.,Data limited to 2013-2016.,NA,Findings are limited by focus on a single city and may not generalize to other contexts.,Findings may be specific to Baltimore City's unique design and connectivity.,No basis for comparison across different locales or time periods.,Use smaller microunits than census block groups.,Collect qualitative data on co-offending motivations and processes.,Use alternative data sources to overcome official records limitations.,Population Density; Ethnic Heterogeneity; Population Turnover; Schools,4,Poverty; Population density; Ethnic heterogeneity,3,Bars; Schools; Transit Stations; Shopping Centers; Pedestrian-Oriented Street Density; Auto-Oriented Street Density,6,Auto-oriented street density; Pedestrian-oriented street density,2,Time Frame; Spatial Lag Operator; Solo Crime Rate; Population Density; Racial/Ethnic Heterogeneity; Population Turnover; Poverty,7,22
Spatial analysis with preference specification of latent decision makers for criminal event prediction,"July 1, 1997 to October 31, 1997","July 1, 1997 to October 31, 1997",Regional Crime Analysis Program (ReCAP); criminal incident reporting mainframe system (RAMS); census data; calculated distance values,NA,NA,"""The sub regions shown in Fig. 1 are block groups, which are the smallest areas, for which census counts are recorded.""",Data availability / Admin convenience,Block groups were used due to their alignment with census data availability and their suitability for representing spatial alternatives within the study area.,United States,"Richmond, VA",NA,Residential Breaking and Entering (B & E),NA,Over 1200 crime observations,Over 1200,NA,Importance sampling technique,Aggregated into 2517 regular grids,Aggregated into grids and importance sampling,"Focus on B & E incidents from July 1, 1997, to October 31, 1997, in Richmond, VA",NA,NA,Multinomial logit,Not explicitly mentioned (typically maximum likelihood for multinomial logit),Uniform spatial choice model and distinct spatial choice model outperform hot spot model,NA,NA,Feature values attached to spatial alternatives and specified preferences of decision makers.,Increase probability of correct location choice.,"The paper uses a fine-grained spatial scale with 2517 regular grids to represent all spatial alternatives, which may affect the results in terms of spatial autocorrelation and scale sensitivity.","The results varied with the use of a detailed grid system, which improved prediction accuracy.",Not explicitly mentioned.,Not explicitly mentioned.,Not explicitly mentioned.,Limited toolsets for analysis.,Characteristics of individuals and choice sets are not directly observed.,Attributes derived from census data and distance values may be correlated.,Large number of alternatives and attributes makes measurement challenging.,Focus on past data for prediction may imply temporal resolution issues.,NA,"Models developed using data from a specific context, limiting applicability to other areas.","Findings specific to Richmond, VA; may not generalize to other areas.",Limited comparison to hot spot methods; no comprehensive comparison across contexts or time periods.,The paper suggests focusing on finer spatial scales to better capture criminal decision-making processes.,Future research should improve data collection and analytical methods to better capture criminal decision-making processes.,The study suggests improving analytical approaches by refining the models and incorporating more detailed spatial data.,NA,0,P.CARE.PH; FAM.DENSITY,2,D.HIGHWAY; FAM.DENSITY; P.CARE.PH; D.HOSPITAL,4,D.HIGHWAY; D.HOSPITAL,2,Time; Location; Census Data; Distance Values,4,12
TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *,August 2011,August 2011 (implied),Metropolitan Police Service; 2001 U.K. Census; Index of Multiple Deprivation (IMD) 2010; U.K. Office for National Statistics,Data regarding police activity was unavailable for analysis,"Approximately 1,500 residents","""The advantage of smaller sized units of analysis in the discrete choice approach is that the explanatory variables are more representative of the population and characteristics of each area.""",Data availability / Practical constraint,LSOAs were chosen due to their availability in the UK census data and their suitability for representing detailed population characteristics.,United Kingdom,London,Not explicitly mentioned in km²,Riot-related incidents,NA,"2,299 records with both residential and offense locations.","3,914 total riot-related incidents.","Not explicitly mentioned, but each offender appears only once in the data.",Comprehensive collection of all riot-related incidents detected by the police in London during August 2011.,U.K. census Lower Super Output Areas (LSOA) as alternatives.,LSOAs within Greater London as spatial units for analysis.,"Focus on riot-related incidents detected by the police, data from August 6-11, 2011.",NA,Cross-sectional,Conditional logit,Maximum likelihood,Results are robust to inclusion of additional variables,NA,NA,"Proximity to home, schools, transport hubs, retail facilities, previous rioting activity, deprivation, population churn.","Increased likelihood for areas close to home, with schools, transport hubs, retail facilities, and previous rioting; decreased likelihood for crossing the Thames River.",The use of smaller spatial units (LSOAs) provides more representative data.,"Results were consistent across different analyses, suggesting robustness to scale variations.",Smaller units are beneficial for representing population and area characteristics.,Use of 2001 census data may not reflect temporal changes in population dynamics.,Not explicitly mentioned.,Use of 2001 census data for estimating ethnic diversity and population churn.,Unavailability of data on police activity.,Reliance on 2001 census data for social demographics.,Potential for unobserved heterogeneity in measuring recent activity.,"Focus on August 6-11, 2011.",NA,The findings are based on a specific event and may not generalize to other contexts or types of civil disorders.,The findings are specific to the 2011 London riots and may not apply to other riots due to unique contextual factors.,The study does not compare findings across different riots or contexts.,Use smaller spatial units like LSOAs for more representative data.,Include data on police resource allocation and social media influence.,Use discrete choice approaches for analyzing offender spatial decision making.,Population Churn Rates; Ethnic Heterogeneity; Number of Schools; Age Distribution; Propinquity; Social Disorganization,6,Index of Multiple Deprivation (IMD),1,Routine Activity Nodes; Transport Hubs; Retail Centers; Schools; River Thames,5,Home-to-crime distance; Distance to city center; Presence of underground station; Thames River barrier; Propinquity; Contagion measure,6,Prior Offenses; Propinquity; Contagion; Discrete Choice Approach; Population Churn Rates; Ethnic Heterogeneity; Deprivation; Population Density; McFadden Pseudo R-squared,9,27
Target Selection Models with Preference Variation Between Offenders,2006-2009,2006-2009,"Recorded crime data from Brisbane, Australia; Australian Bureau of Statistics (ABS) 2006 Census",Data represents 22% of all recorded burglaries during this period,Not specified,Not explicitly stated,Data availability,SLAs were used due to data availability from the ABS census.,Australia,Brisbane,158 Statistical Local Areas (SLAs),Residential burglary,NA,2844 detected residential burglaries,2844,873,Random effects variant of the discrete spatial choice model,158 Statistical Local Areas (SLAs) in the Brisbane Local Government Area,Characteristics sourced from the Australian Bureau of Statistics (ABS) 2006 Census,Data represents 22% of all recorded burglaries; focuses on detected residential burglaries,NA,Cross-sectional,Mixed logit,Hierarchical Bayes,Mixed logit model provides a superior fit compared to the conditional logit model,NA,NA,Affluence was statistically significant in the mixed logit model. Residential mobility had different effects in the two models.,Proximity variables increased choice probability. Affluence increased choice probability in the mixed logit model. Residential mobility decreased choice probability in the mixed logit model.,"The study uses a mixed logit model to estimate individual preferences, allowing for variation across different spatial units. The intraclass correlation coefficient (ICC) is used to assess spatial nesting within SLAs.","The study finds that results are partially related to the spatial nesting of burglars in SLAs, but there is no significant spatial autocorrelation.","The authors suggest that smaller units of analysis, such as street segments, might be more feasible for modeling preference variability.","The study acknowledges limitations related to using neighborhoods as the spatial unit, which may not capture internal heterogeneity.","The paper references Weisburd et al. (2012) for using street segments over neighborhoods, indicating a comparison with studies using different scales.",Recorded crime data only reflects cleared residential burglaries.,Assumption that all offending trips originate from an offender's home location due to lack of nuanced data.,Measures of affluence and social cohesion derived from secondary data sources.,Use of median housing repayment and residential turnover as proxies.,No account for changes over time in offender preferences or behavioral rules.,NA,Specific to Brisbane; use of secondary data sources may limit generalizability.,"Findings specific to Brisbane, Australia, during the study period.",Limited to Brisbane; mixed logit model may not be directly comparable to other studies.,Smaller spatial units or scales might be more effective in future work.,More nuanced data collection is needed to capture the environmental backcloth and individual preferences.,Use of mixed logit models over traditional conditional logit models.,Residential mobility; Social cohesion; Ethnicity/race; Collective efficacy,4,Mean housing repayment; Number of households,2,Target Vulnerability; City Center Proximity,2,Proximity to city center; Proximity; Distance to crime,3,NA,0,11
Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,"January 1, 2001, to December 31, 2005","January 1, 2001, to December 31, 2005",Police data for detected crimes; GIS data for origin-destination flows,Crimes committed by offenders living outside the study area were excluded,"Approximately 1,524 people and 662 households","Not explicitly quoted, but implied due to data availability and administrative convenience",Data availability / Admin convenience,"LSOAs were likely chosen due to their standard use in UK census data and administrative convenience, although not explicitly justified in the paper.",United Kingdom,County of Dorset,Not explicitly mentioned in terms of square kilometers,Theft from vehicles (TFV),NA,721 choice observations or events.,721.,263 unique offenders.,"Data from detected incidents of theft from vehicles (TFV) in Dorset, UK.",U.K. census Lower Super Output Areas (LSOAs) as the unit of analysis.,Based on availability of geographical coordinates for offense and offender home locations.,Excluded crimes committed by offenders living outside the study area; randomly selected one offender's data when multiple offenders were involved.,NA,Cross-sectional,Conditional logit,Maximum likelihood estimation,NA,NA,NA,"Distance, presence of schools, proximity to city center, presence of train stations, connectivity via major roads, population turnover, and social heterogeneity.","Offenders prefer areas closer to home, with schools (for younger offenders), closer to city centers (for adult offenders), with train stations, and with higher connectivity. They also prefer areas with higher population turnover and social heterogeneity.","The study uses Lower Super Output Areas (LSOAs) as the unit of analysis, which are smaller than those used in some previous studies. The design of environments and connectivity affects crime opportunities, and the road network influences adult offender decision-making.",Not mentioned.,Not mentioned.,Not mentioned.,LSOAs are smaller than those used in some other studies.,Dependency in data due to reoffending could lead to errors in statistical inference.,Crimes committed by offenders living outside the study area were excluded.,Indirect measures of socioeconomic heterogeneity and population turnover.,Number of registered vehicles and car parks may not reflect actual abundance.,Focus on a 5-year period.,NA,"Study extends external validity by examining a new crime type and location, but exclusion of external crimes and focus on TFV may limit generalizability.","Findings specific to TFV in Dorset, UK; may not apply to other crimes or locations.",No direct comparisons across different contexts or time periods.,The study suggests using smaller spatial units like Lower Super Output Areas (LSOAs) for analysis.,Future research should collect data on routine activity nodes beyond home locations.,The study suggests using the discrete choice approach to examine offender decision-making.,Population density; Household size/composition; Population turnover,3,Socioeconomic Heterogeneity,1,Schools; City Centers; Major Roads; Train Stations,4,Home-to-crime distance; Distance to city center; Connectivity via major roads; Adjacency,4,Time Frame; Robust Standard Errors; Unit of Analysis; Random Utility Model; Interaction Terms,5,17
