Variable,Frequency,Studies,Source_Columns
Schools | Number,13,11,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; TEMPORAL & CONTROL VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
Proportion of high-rise buildings | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Proportion of high-rise residential buildings | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Proportion of local residents with ZG city Hukou status | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Proportion of newcomers | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Proportion of non-locals | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Proportion of Non-Western Residents | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Proportion of Residents with a Non-Western Background | Percentage,1,1,ECONOMIC VARIABLES
Proportion of residents with a non-Western ethnic background | Percentage,1,1,ECONOMIC VARIABLES
Proportion of Residents with a Non-Western Ethnic Background | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Proportion of Youngsters | Percentage,1,1,ECONOMIC VARIABLES
Proportion rental units | Percentage,1,1,ECONOMIC VARIABLES
Prostitution markets | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Proximity Hypothesis | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Proximity to Activity Nodes | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Proximity to Burglar's Home | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Proximity to CBD | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Proximity to Central Business District | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Proximity to city center | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Proximity to City Center | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Proximity to El Stations | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Proximity to Offender's Home | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Proximity to Residential Area | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Pseudo-R 2 | Number,1,1,TEMPORAL & CONTROL VARIABLES
Public facilities in the central business district | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Public transport usage | Percentage,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Racial and Ethnic Background | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Racial and ethnic background of offenders | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Racial and ethnic composition | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Racial and Ethnic Composition | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Racial and ethnic composition of the population | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Racial and ethnic dissimilarity | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Racial and ethnic segregation | Binary,1,1,ECONOMIC VARIABLES
Racial Composition | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Racial/ethnic composition | Binary,1,1,ECONOMIC VARIABLES
Racial/Ethnic Composition | Number,1,1,TEMPORAL & CONTROL VARIABLES
Racial/Ethnic Heterogeneity | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Radius of Gyration | Percentage,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Random Sampling | Number,1,1,TEMPORAL & CONTROL VARIABLES
Random Utility Model | Number,1,1,TEMPORAL & CONTROL VARIABLES
Real Estate Value of Residences | Index,1,1,ECONOMIC VARIABLES
Recency Hypothesis | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Recency of Prior Crimes | Number,1,1,TEMPORAL & CONTROL VARIABLES
Recency Variables | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Recognition as strangers | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Relative Mobility | Percentage,1,1,DISTANCE & ACCESSIBILITY VARIABLES
"Religious facilities (temples, churches, mosques) | Percentage",1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
"Rent categories (no rent, low, medium, high) | Binary",1,1,ECONOMIC VARIABLES
Rental Status | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Rental Units | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Residence-crime proximity | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Residences | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Residential addresses | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Residential Area Variables | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Residential Churn | Index,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Residential density | Distance,1,1,ECONOMIC VARIABLES
Residential Density | Distance,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Residential Instability | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Residential Mobility | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Residential Mobility Rates | Rate,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Residential population density | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Residential Real Estate Value | Number,1,1,ECONOMIC VARIABLES
Residential segregation | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Residential Stability | Index,1,1,TEMPORAL & CONTROL VARIABLES
Residential units' visible cues | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
"Restaurants, fast-food outlets, and food stands | Number",1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Retail activities | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Retail Businesses | Binary,1,1,ECONOMIC VARIABLES
Retail businesses | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Retail Centers | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Retail employment | Density,1,1,ECONOMIC VARIABLES
Retail Stores | Number,1,1,TEMPORAL & CONTROL VARIABLES
River | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
River as barrier | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
River Thames | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Road Network Configuration | Percentage,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Road network data | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Road Structure | Rate,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Routine activities | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Routine Activities | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Routine activity nodes | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Routine Activity Nodes | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Schools | Binary,1,1,ECONOMIC VARIABLES
Seasonal measurement period | Number,1,1,TEMPORAL & CONTROL VARIABLES
Seemingly Unrelated Estimation | Number,1,1,TEMPORAL & CONTROL VARIABLES
Selection of weekdays | Number,1,1,TEMPORAL & CONTROL VARIABLES
Series of Models | Number,1,1,TEMPORAL & CONTROL VARIABLES
Sex | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Sex of offenders | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Shared Awareness Space | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Shopping | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Shopping Centers | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Shopping malls | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Shops facing the street | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Shortest travel path | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Sidewalks | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Single-Parent Households | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Single-Person Households | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Single residents | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Social Barriers | Index,1,1,TEMPORAL & CONTROL VARIABLES
Social Barriers | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Social barriers based on Hukou status | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Social cohesion | Index,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Social Cohesion | Index,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Social cohesion and collective efficacy | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Social Control | Number,1,1,TEMPORAL & CONTROL VARIABLES
Social Disorder | Number,1,1,TEMPORAL & CONTROL VARIABLES
Social Disorganization | Index,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Social Disorganization | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Social disorganization | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Social Trust | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Socially organized areas | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Socio-Economic Index for Areas (SEIFA) | Index,1,1,ECONOMIC VARIABLES
Socioeconomic Heterogeneity | Number,1,1,TEMPORAL & CONTROL VARIABLES
Solo Crime Rate | Rate,1,1,TEMPORAL & CONTROL VARIABLES
Spatial boundaries | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Spatial Competition | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Spatial competition variable | Number,1,1,TEMPORAL & CONTROL VARIABLES
Spatial Competition Variable | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Spatial Lag | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Spatial Lag Operator | Number,1,1,TEMPORAL & CONTROL VARIABLES
Spatial Lags | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Spatial Lags | Number,1,1,TEMPORAL & CONTROL VARIABLES
Spatial Unit | Number,1,1,TEMPORAL & CONTROL VARIABLES
Sport and leisure facilities | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Sports activities | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Sports and leisure facilities | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Sports stadiums | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Street permeability | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Street Segment Type | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Street Segments | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Streetlights | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Structural elements | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Subway Stations | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Subway Stations | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Supermarkets | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Surveillability | Distance,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Surveillance Cameras | Binary,1,1,TEMPORAL & CONTROL VARIABLES
SWEBER (spatially weighted burglar exposition rate) | Rate,1,1,DISTANCE & ACCESSIBILITY VARIABLES
T ij | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Target Vulnerability | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Temporal Categories | Number,1,1,TEMPORAL & CONTROL VARIABLES
Temporal Filter | Number,1,1,TEMPORAL & CONTROL VARIABLES
Temporally optimized distance | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Thames River barrier | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Through Movement | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Time-of-day effects | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Time | Number,1,1,TEMPORAL & CONTROL VARIABLES
Time and Place of Incident | Number,1,1,TEMPORAL & CONTROL VARIABLES
Time elapsed since interview | Number,1,1,TEMPORAL & CONTROL VARIABLES
Time Interval Between Two Robberies | Number,1,1,TEMPORAL & CONTROL VARIABLES
Time of day | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Time of Offense | Number,1,1,TEMPORAL & CONTROL VARIABLES
Time Since Moved Out of the Area | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Total number of households | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Total number of residents in the census block | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Total Population | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Total Residential Units | Distance,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Traffic road network vector map data | Number,1,1,TEMPORAL & CONTROL VARIABLES
Train Stations | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Train stations | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Trams and Buses | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Transit Stations | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Transport hubs | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Transport Hubs | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Transportation Hubs | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Transportation Hubs | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Transportation hubs | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Transportation network accessibility | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Travel Restrictions | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Type of Street Segment | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Types of housing | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
u 26 | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
u 27 | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
u 30 | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
u30 | Distance,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
u66 | Density,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Underreporting of crimes | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Unit of Analysis | Number,1,1,TEMPORAL & CONTROL VARIABLES
Urban nature of the study area | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Vehicular Travel Time | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Victim Suburb Weekly Income | Number,1,1,ECONOMIC VARIABLES
Visiting frequency | Rate,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
W ij | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Wald Tests | Number,1,1,TEMPORAL & CONTROL VARIABLES
Walls | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Ward Area | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Ward Population | Number,1,1,TEMPORAL & CONTROL VARIABLES
Wealth | Distance,1,1,ECONOMIC VARIABLES
Whether Offender Has Lived in the Area Before | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Whether Offender Lives in the Area | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Windows | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Year dummies | Binary,1,1,TEMPORAL & CONTROL VARIABLES
